"",BBK01.OEAB24G,BBK01.OEAB24G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:24:31,
2002-01,39.009,
2002-04,37.831,
2002-07,38.393,
2002-10,36.863,
2003-01,36.738,
2003-04,36.415,
2003-07,36.296,
2003-10,35.163,
2004-01,34.544,
2004-04,33.480,
2004-07,31.430,
2004-10,31.314,
2005-01,23.488,
2005-04,23.064,
2005-07,21.983,
2005-10,22.179,
2006-01,22.202,
2006-04,23.135,
2006-07,22.980,
2006-10,23.400,
2007-01,22.762,
2007-04,22.387,
2007-07,22.748,
2007-10,22.753,
2008-01,21.575,
2008-04,23.210,
2008-07,24.819,
2008-10,24.692,
2009-01,24.211,
2009-04,25.006,
2009-07,24.991,
2009-10,25.232,
2010-01,25.142,
2010-04,25.515,
2010-07,26.685,
2010-10,27.026,
2011-01,25.459,
2011-04,25.299,
2011-07,25.294,
2011-10,25.272,
2012-01,25.570,
2012-04,25.293,
2012-07,24.951,
2012-10,25.596,
2013-01,25.179,
2013-04,25.059,
2013-07,24.796,
2013-10,25.676,
2014-01,25.905,
2014-04,25.285,
2014-07,25.492,
