"",BBK01.OEXI05K,BBK01.OEXI05K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:55,
2002-01,2.109,
2002-04,2.165,
2002-07,2.200,
2002-10,2.161,
2003-01,2.185,
2003-04,2.209,
2003-07,2.276,
2003-10,2.564,
2004-01,2.340,
2004-04,2.372,
2004-07,2.268,
2004-10,0.529,
2005-01,0.550,
2005-04,0.538,
2005-07,0.508,
2005-10,0.488,
2006-01,0.455,
2006-04,0.453,
2006-07,0.470,
2006-10,0.452,
2007-01,0.449,
2007-04,0.472,
2007-07,0.464,
2007-10,0.442,
2008-01,0.426,
2008-04,0.572,
2008-07,0.577,
2008-10,0.561,
2009-01,0.726,
2009-04,0.756,
2009-07,0.674,
2009-10,0.811,
2010-01,0.891,
2010-04,0.868,
2010-07,0.965,
2010-10,1.058,
2011-01,1.042,
2011-04,1.031,
2011-07,1.033,
2011-10,1.048,
2012-01,1.040,
2012-04,1.029,
2012-07,1.043,
2012-10,0.982,
2013-01,0.970,
2013-04,0.941,
2013-07,0.940,
2013-10,0.968,
2014-01,0.948,
2014-04,0.963,
2014-07,0.916,
