"",BBK01.OEAH68O,BBK01.OEAH68O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:12,
2002-01,-1.126,
2002-04,-1.587,
2002-07,-1.890,
2002-10,-4.218,
2003-01,-5.425,
2003-04,-5.739,
2003-07,-6.372,
2003-10,-8.118,
2004-01,-9.432,
2004-04,-9.853,
2004-07,-10.004,
2004-10,-10.448,
2005-01,26.263,
2005-04,25.967,
2005-07,26.046,
2005-10,26.043,
2006-01,25.453,
2006-04,24.990,
2006-07,24.387,
2006-10,24.033,
2007-01,23.117,
2007-04,22.526,
2007-07,21.669,
2007-10,20.984,
2008-01,20.504,
2008-04,20.193,
2008-07,19.601,
2008-10,19.462,
2009-01,19.804,
2009-04,20.365,
2009-07,20.874,
2009-10,21.437,
2010-01,21.979,
2010-04,22.434,
2010-07,22.931,
2010-10,23.566,
2011-01,23.845,
2011-04,23.929,
2011-07,23.811,
2011-10,24.251,
2012-01,24.201,
2012-04,23.895,
2012-07,23.611,
2012-10,23.570,
2013-01,23.112,
2013-04,22.985,
2013-07,22.903,
2013-10,23.120,
2014-01,23.120,
2014-04,22.902,
2014-07,22.741,
