"",BBK01.OEAB14J,BBK01.OEAB14J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:52,
2002-01,0.520,
2002-04,0.503,
2002-07,0.494,
2002-10,0.483,
2003-01,0.448,
2003-04,0.439,
2003-07,0.440,
2003-10,0.438,
2004-01,0.432,
2004-04,0.413,
2004-07,0.406,
2004-10,0.419,
2005-01,0.414,
2005-04,0.412,
2005-07,0.400,
2005-10,0.331,
2006-01,0.314,
2006-04,0.333,
2006-07,0.333,
2006-10,0.319,
2007-01,0.305,
2007-04,0.294,
2007-07,0.282,
2007-10,0.282,
2008-01,0.306,
2008-04,0.285,
2008-07,0.268,
2008-10,0.237,
2009-01,0.241,
2009-04,0.223,
2009-07,0.225,
2009-10,0.224,
2010-01,0.238,
2010-04,0.240,
2010-07,0.233,
2010-10,0.233,
2011-01,0.229,
2011-04,0.234,
2011-07,0.232,
2011-10,0.219,
2012-01,0.221,
2012-04,0.230,
2012-07,0.217,
2012-10,0.217,
2013-01,0.213,
2013-04,0.205,
2013-07,0.201,
2013-10,0.186,
2014-01,0.182,
2014-04,0.172,
2014-07,0.177,
