"",BBK01.CELN0I,BBK01.CELN0I_FLAGS
"",Transferable deposits                                                      debtor: Total            creditor: Households (incl. NPISH),
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:45:17,
1999-01,3.1,
1999-04,14.7,
1999-07,1.4,
1999-10,7.0,
2000-01,9.7,
2000-04,-5.4,
2000-07,-5.5,
2000-10,6.4,
2001-01,8.9,
2001-04,13.7,
2001-07,10.3,
2001-10,28.8,
2002-01,4.9,
2002-04,13.8,
2002-07,-1.5,
2002-10,17.3,
2003-01,13.3,
2003-04,11.0,
2003-07,3.9,
2003-10,7.7,
2004-01,9.9,
2004-04,8.1,
2004-07,-0.6,
2004-10,10.2,
2005-01,8.8,
2005-04,11.0,
2005-07,3.1,
2005-10,12.9,
2006-01,1.5,
2006-04,5.3,
2006-07,-12.4,
2006-10,7.6,
2007-01,0.9,
2007-04,12.8,
2007-07,-0.9,
2007-10,9.3,
2008-01,-4.1,
2008-04,-2.0,
2008-07,-2.9,
2008-10,33.2,
2009-01,50.3,
2009-04,32.1,
2009-07,25.4,
2009-10,33.8,
2010-01,18.7,
2010-04,21.5,
2010-07,5.0,
2010-10,16.5,
2011-01,0.9,
2011-04,9.5,
2011-07,5.7,
2011-10,18.7,
2012-01,13.4,
2012-04,23.0,
2012-07,25.4,
2012-10,31.0,
2013-01,21.2,
2013-04,26.0,
2013-07,16.6,
2013-10,26.9,
2014-01,11.1,
2014-04,21.3,
2014-07,12.7,
