"",BBK01.OECO05N,BBK01.OECO05N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:14:20,
2002-01,0.025,
2002-04,0.011,
2002-07,0.008,
2002-10,0.071,
2003-01,0.010,
2003-04,0.008,
2003-07,0.007,
2003-10,0.069,
2004-01,0.012,
2004-04,0.006,
2004-07,0.004,
2004-10,0.073,
2005-01,0.010,
2005-04,0.008,
2005-07,-0.009,
2005-10,0.210,
2006-01,-0.054,
2006-04,0.002,
2006-07,-0.003,
2006-10,0.177,
2007-01,-0.003,
2007-04,0.002,
2007-07,-,Nothing exists
2007-10,0.208,
2008-01,0.004,
2008-04,0.007,
2008-07,-0.007,
2008-10,0.219,
2009-01,0.002,
2009-04,0.006,
2009-07,-0.006,
2009-10,0.217,
2010-01,0.022,
2010-04,0.009,
2010-07,0.016,
2010-10,0.139,
2011-01,0.005,
2011-04,0.005,
2011-07,0.011,
2011-10,0.031,
2012-01,0.009,
2012-04,0.007,
2012-07,0.013,
2012-10,0.126,
2013-01,0.035,
2013-04,0.007,
2013-07,0.007,
2013-10,0.066,
2014-01,0.005,
2014-04,0.004,
2014-07,0.006,
