"",BBK01.OELJ10N,BBK01.OELJ10N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:04:18,
2002-01,0.106,
2002-04,0.116,
2002-07,0.125,
2002-10,0.138,
2003-01,0.150,
2003-04,0.166,
2003-07,0.179,
2003-10,0.193,
2004-01,0.203,
2004-04,0.214,
2004-07,0.229,
2004-10,0.238,
2005-01,0.246,
2005-04,0.249,
2005-07,0.258,
2005-10,0.263,
2006-01,0.263,
2006-04,0.265,
2006-07,0.287,
2006-10,0.294,
2007-01,0.299,
2007-04,0.300,
2007-07,0.300,
2007-10,0.298,
2008-01,0.293,
2008-04,0.290,
2008-07,0.287,
2008-10,0.283,
2009-01,0.287,
2009-04,0.290,
2009-07,0.284,
2009-10,0.284,
2010-01,0.278,
2010-04,0.271,
2010-07,0.267,
2010-10,0.260,
2011-01,0.254,
2011-04,0.246,
2011-07,0.237,
2011-10,0.228,
2012-01,0.220,
2012-04,0.213,
2012-07,0.203,
2012-10,0.195,
2013-01,0.185,
2013-04,0.178,
2013-07,0.169,
2013-10,0.161,
2014-01,0.151,
2014-04,0.132,
2014-07,0.125,
