"",BBEX3.M.INR.USD.CA.AC.A01,BBEX3.M.INR.USD.CA.AC.A01_FLAGS
"",Exchange rates for the US dollar in India / USD 1 = INR ... (middle),
unit,INR (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:18:02,
1993-08,31.410,
1993-09,31.410,
1993-10,31.410,
1993-11,31.410,
1993-12,31.410,
1994-01,31.410,
1994-02,31.410,
1994-03,31.410,
1994-04,31.410,
1994-05,31.410,
1994-06,31.410,
1994-07,31.410,
1994-08,31.410,
1994-09,31.410,
1994-10,31.410,
1994-11,31.410,
1994-12,31.410,
1995-01,31.410,
1995-02,31.410,
1995-03,31.510,
1995-04,31.460,
1995-05,31.410,
1995-06,31.460,
1995-07,31.410,
1995-08,31.860,
1995-09,33.860,
1995-10,34.660,
1995-11,34.875,
1995-12,35.075,
1996-01,36.075,
1996-02,35.160,
1996-03,34.260,
1996-04,34.260,
1996-05,35.010,
1996-06,34.960,
1996-07,35.610,
1996-08,35.660,
1996-09,35.610,
1996-10,35.605,
1996-11,35.675,
1996-12,35.895,
1997-01,35.895,
1997-02,35.905,
1997-03,35.935,
1997-04,35.845,
1997-05,35.795,
1997-06,35.840,
1997-07,35.710,
1997-08,36.275,
1997-09,36.200,
1997-10,36.360,
1997-11,38.580,
1997-12,39.235,
1998-01,38.900,
1998-02,39.315,
1998-03,39.535,
1998-04,39.785,
1998-05,41.515,
1998-06,42.550,
1998-07,42.620,
1998-08,42.610,
1998-09,42.530,
1998-10,42.360,
1998-11,42.620,
1998-12,42.600,
1999-01,42.550,
1999-02,42.500,
1999-03,42.450,
1999-04,42.820,
1999-05,43.040,
1999-06,43.385,
1999-07,43.305,
1999-08,43.515,
1999-09,43.605,
1999-10,43.425,
1999-11,43.435,
1999-12,43.545,
2000-01,43.645,
2000-02,43.635,
2000-03,43.635,
2000-04,43.685,
2000-05,44.545,
2000-06,44.695,
2000-07,44.905,
2000-08,45.820,
2000-09,46.080,
2000-10,46.730,
2000-11,46.900,
2000-12,46.740,
2001-01,46.440,
2001-02,46.670,
2001-03,46.610,
2001-04,46.880,
2001-05,47.000,
2001-06,47.060,
2001-07,47.180,
2001-08,47.170,
2001-09,47.890,
2001-10,48.045,
2001-11,48.005,
2001-12,48.305,
2002-01,48.560,
2002-02,48.760,
2002-03,48.680,
2002-04,49.020,
2002-05,49.020,
2002-06,48.850,
2002-07,48.690,
2002-08,48.550,
2002-09,48.410,
2002-10,48.400,
2002-11,48.280,
2002-12,47.950,
2003-01,47.790,
2003-02,47.670,
2003-03,47.550,
2003-04,47.370,
2003-05,47.010,
2003-06,46.410,
2003-07,46.130,
2003-08,45.840,
2003-09,45.830,
2003-10,45.320,
2003-11,45.930,
2003-12,45.560,
2004-01,45.310,
2004-02,45.250,
2004-03,44.040,
2004-04,44.320,
2004-05,45.370,
2004-06,46.060,
2004-07,46.480,
2004-08,46.390,
2004-09,46.190,
2004-10,45.520,
2004-11,44.760,
2004-12,43.675,
2005-01,43.775,
2005-02,43.705,
2005-03,43.805,
2005-04,43.725,
2005-05,43.705,
2005-06,43.565,
2005-07,43.525,
2005-08,44.050,
2005-09,44.090,
2005-10,45.170,
2005-11,45.960,
2005-12,45.130,
2006-01,44.090,
2006-02,44.550,
2006-03,44.655,
2006-04,45.015,
2006-05,46.485,
2006-06,46.135,
2006-07,46.545,
2006-08,46.575,
2006-09,45.965,
2006-10,45.005,
2006-11,44.755,
2006-12,44.165,
2007-01,44.165,
2007-02,44.355,
2007-03,43.470,
2007-04,41.315,
2007-05,40.785,
2007-06,40.785,
2007-07,40.445,
2007-08,41.055,
2007-09,39.795,
2007-10,40.305,
2007-11,39.705,
2007-12,39.925,
2008-01,39.455,
2008-02,39.915,
2008-03,39.815,
2008-04,40.415,
2008-05,42.565,
2008-06,42.885,
2008-07,42.465,
2008-08,43.770,
2008-09,46.865,
2008-10,49.365,
2008-11,49.820,
2008-12,48.545,
2009-01,49.065,
2009-02,50.570,
2009-03,51.420,
2009-04,49.870,
2009-05,47.515,
2009-06,47.865,
2009-07,48.215,
2009-08,48.845,
2009-09,48.015,
2009-10,46.865,
2009-11,46.395,
2009-12,46.665,
2010-01,46.345,
2010-02,46.315,
2010-03,45.125,
2010-04,44.455,
2010-05,46.435,
2010-06,46.645,
2010-07,46.465,
2010-08,47.015,
2010-09,44.895,
2010-10,44.525,
2010-11,46.020,
2010-12,44.825,
2011-01,45.935,
2011-02,45.295,
2011-03,44.685,
2011-04,44.435,
2011-05,44.985,
2011-06,44.790,
2011-07,44.090,
2011-08,45.915,
2011-09,48.895,
2011-10,48.800,
2011-11,52.070,
2011-12,52.840,
2012-01,49.595,
2012-02,48.865,
2012-03,51.120,
2012-04,52.470,
2012-05,56.375,
2012-06,.,No value available
2012-07,.,No value available
2012-08,55.670,
2012-09,52.720,
2012-10,54.020,
2012-11,54.370,
2012-12,54.750,
2013-01,53.040,
2013-02,54.020,
2013-03,54.390,
2013-04,54.140,
2013-05,56.445,
2013-06,59.820,
2013-07,61.020,
2013-08,66.125,
2013-09,62.470,
2013-10,61.420,
2013-11,62.320,
2013-12,61.960,
2014-01,62.620,
2014-02,62.100,
2014-03,60.060,
2014-04,60.320,
2014-05,58.970,
2014-06,60.070,
2014-07,60.220,
2014-08,60.520,
2014-09,61.570,
2014-10,61.420,
2014-11,61.920,
2014-12,63.375,
2015-01,61.830,
"","Source: Calculated on the basis of the buying and selling rates of the State Bank of India, Frankfurt am Main.",
