"",BBK01.OEXB17O,BBK01.OEXB17O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:14,
2002-01,-11.184,
2002-04,-11.626,
2002-07,-11.991,
2002-10,-12.610,
2003-01,-13.014,
2003-04,-13.525,
2003-07,-14.142,
2003-10,-14.599,
2004-01,-14.965,
2004-04,-16.613,
2004-07,-20.246,
2004-10,-21.365,
2005-01,2.478,
2005-04,2.520,
2005-07,2.543,
2005-10,2.566,
2006-01,2.549,
2006-04,2.437,
2006-07,2.468,
2006-10,2.526,
2007-01,2.533,
2007-04,2.533,
2007-07,2.550,
2007-10,2.516,
2008-01,2.521,
2008-04,2.545,
2008-07,2.534,
2008-10,2.507,
2009-01,2.599,
2009-04,2.642,
2009-07,2.680,
2009-10,2.681,
2010-01,2.716,
2010-04,2.732,
2010-07,2.746,
2010-10,2.769,
2011-01,2.797,
2011-04,2.810,
2011-07,2.853,
2011-10,2.811,
2012-01,3.224,
2012-04,3.453,
2012-07,3.358,
2012-10,3.296,
2013-01,3.263,
2013-04,3.271,
2013-07,3.283,
2013-10,3.064,
2014-01,3.107,
2014-04,3.169,
2014-07,3.200,
