"",BBK01.OEAH91J,BBK01.OEAH91J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:25:26,
2002-01,1.496,
2002-04,1.527,
2002-07,1.596,
2002-10,1.561,
2003-01,1.544,
2003-04,1.616,
2003-07,1.748,
2003-10,1.634,
2004-01,1.756,
2004-04,1.759,
2004-07,1.737,
2004-10,1.735,
2005-01,1.770,
2005-04,1.910,
2005-07,1.992,
2005-10,2.024,
2006-01,1.751,
2006-04,1.692,
2006-07,1.684,
2006-10,0.180,
2007-01,0.131,
2007-04,0.131,
2007-07,0.130,
2007-10,0.080,
2008-01,0.042,
2008-04,0.037,
2008-07,0.041,
2008-10,0.038,
2009-01,0.041,
2009-04,0.020,
2009-07,0.018,
2009-10,0.019,
2010-01,0.019,
2010-04,0.018,
2010-07,0.018,
2010-10,0.019,
2011-01,0.019,
2011-04,0.020,
2011-07,0.020,
2011-10,0.019,
2012-01,0.019,
2012-04,0.018,
2012-07,0.013,
2012-10,0.013,
2013-01,0.013,
2013-04,0.013,
2013-07,0.013,
2013-10,0.013,
2014-01,0.004,
2014-04,0.004,
2014-07,0.002,
