"",BBDA1.M.DE.Y.SD.S.A.W1.A.V.ABA.A,BBDA1.M.DE.Y.SD.S.A.W1.A.V.ABA.A_FLAGS
"","German foreign trade: balance / At current prices, flows / Aggregate / all goods / Rest of the World / At current prices, flows / Calendar and seasonally adjusted",
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-20 11:00:38,
1990-07,5.21,
1990-08,4.01,
1990-09,3.82,
1990-10,3.69,
1990-11,1.52,
1990-12,2.09,
1991-01,1.63,
1991-02,1.78,
1991-03,1.40,
1991-04,-0.14,
1991-05,-0.39,
1991-06,-0.27,
1991-07,0.32,
1991-08,1.59,
1991-09,0.28,
1991-10,0.78,
1991-11,1.81,
1991-12,3.03,
1992-01,0.89,
1992-02,1.44,
1992-03,2.25,
1992-04,1.68,
1992-05,0.66,
1992-06,0.64,
1992-07,0.83,
1992-08,3.01,
1992-09,2.36,
1992-10,2.29,
1992-11,0.89,
1992-12,0.45,
1993-01,1.59,
1993-02,3.23,
1993-03,2.89,
1993-04,1.66,
1993-05,2.67,
1993-06,2.63,
1993-07,2.16,
1993-08,2.00,
1993-09,2.65,
1993-10,3.16,
1993-11,2.15,
1993-12,3.46,
1994-01,3.02,
1994-02,2.73,
1994-03,2.36,
1994-04,3.54,
1994-05,3.16,
1994-06,4.04,
1994-07,2.22,
1994-08,4.29,
1994-09,3.01,
1994-10,3.08,
1994-11,2.75,
1994-12,2.42,
1995-01,4.71,
1995-02,3.12,
1995-03,2.09,
1995-04,3.91,
1995-05,3.77,
1995-06,3.32,
1995-07,3.01,
1995-08,3.96,
1995-09,4.43,
1995-10,3.57,
1995-11,4.01,
1995-12,3.91,
1996-01,2.99,
1996-02,4.34,
1996-03,3.04,
1996-04,3.87,
1996-05,4.65,
1996-06,2.89,
1996-07,5.21,
1996-08,4.62,
1996-09,4.61,
1996-10,5.08,
1996-11,4.65,
1996-12,4.64,
1997-01,2.93,
1997-02,4.18,
1997-03,4.91,
1997-04,4.44,
1997-05,4.83,
1997-06,5.19,
1997-07,5.09,
1997-08,4.74,
1997-09,7.20,
1997-10,4.35,
1997-11,5.27,
1997-12,7.08,
1998-01,3.54,
1998-02,5.63,
1998-03,5.47,
1998-04,5.23,
1998-05,7.23,
1998-06,4.85,
1998-07,6.12,
1998-08,4.81,
1998-09,5.85,
1998-10,5.33,
1998-11,6.96,
1998-12,3.59,
1999-01,5.23,
1999-02,5.31,
1999-03,4.56,
1999-04,5.59,
1999-05,3.60,
1999-06,5.99,
1999-07,6.54,
1999-08,3.52,
1999-09,5.79,
1999-10,5.38,
1999-11,7.22,
1999-12,5.72,
2000-01,4.01,
2000-02,6.40,
2000-03,4.73,
2000-04,5.78,
2000-05,4.13,
2000-06,6.25,
2000-07,5.42,
2000-08,3.17,
2000-09,4.73,
2000-10,6.68,
2000-11,4.82,
2000-12,3.08,
2001-01,6.25,
2001-02,6.86,
2001-03,7.98,
2001-04,6.59,
2001-05,8.03,
2001-06,7.33,
2001-07,8.39,
2001-08,9.60,
2001-09,7.86,
2001-10,9.17,
2001-11,7.59,
2001-12,10.82,
2002-01,10.77,
2002-02,10.56,
2002-03,11.22,
2002-04,9.79,
2002-05,11.02,
2002-06,10.56,
2002-07,11.55,
2002-08,11.62,
2002-09,12.28,
2002-10,11.08,
2002-11,13.02,
2002-12,10.73,
2003-01,8.84,
2003-02,10.39,
2003-03,8.52,
2003-04,9.18,
2003-05,10.80,
2003-06,10.02,
2003-07,12.35,
2003-08,12.00,
2003-09,14.17,
2003-10,10.54,
2003-11,11.26,
2003-12,13.05,
2004-01,12.33,
2004-02,12.24,
2004-03,13.49,
2004-04,14.55,
2004-05,15.75,
2004-06,13.19,
2004-07,12.36,
2004-08,12.77,
2004-09,11.27,
2004-10,12.47,
2004-11,11.54,
2004-12,12.26,
2005-01,13.50,
2005-02,13.83,
2005-03,14.45,
2005-04,11.53,
2005-05,13.08,
2005-06,13.95,
2005-07,13.22,
2005-08,13.78,
2005-09,14.05,
2005-10,12.72,
2005-11,12.51,
2005-12,10.47,
2006-01,12.08,
2006-02,12.90,
2006-03,10.71,
2006-04,12.24,
2006-05,11.68,
2006-06,10.90,
2006-07,12.32,
2006-08,12.72,
2006-09,14.95,
2006-10,17.04,
2006-11,17.31,
2006-12,14.04,
2007-01,15.91,
2007-02,14.00,
2007-03,15.05,
2007-04,15.58,
2007-05,17.22,
2007-06,15.24,
2007-07,16.94,
2007-08,16.17,
2007-09,18.64,
2007-10,17.76,
2007-11,18.32,
2007-12,15.50,
2008-01,17.13,
2008-02,16.34,
2008-03,16.66,
2008-04,16.96,
2008-05,15.33,
2008-06,17.68,
2008-07,12.48,
2008-08,14.45,
2008-09,13.38,
2008-10,15.66,
2008-11,10.15,
2008-12,10.06,
2009-01,8.50,
2009-02,8.95,
2009-03,9.20,
2009-04,10.04,
2009-05,11.29,
2009-06,12.71,
2009-07,14.19,
2009-08,11.66,
2009-09,9.80,
2009-10,11.62,
2009-11,14.99,
2009-12,14.48,
2010-01,10.47,
2010-02,13.55,
2010-03,12.51,
2010-04,13.02,
2010-05,11.29,
2010-06,11.98,
2010-07,12.42,
2010-08,11.80,
2010-09,14.08,
2010-10,14.46,
2010-11,12.39,
2010-12,13.71,
2011-01,12.37,
2011-02,11.99,
2011-03,15.05,
2011-04,11.79,
2011-05,13.17,
2011-06,12.73,
2011-07,11.03,
2011-08,13.57,
2011-09,14.63,
2011-10,12.20,
2011-11,14.45,
2011-12,13.08,
2012-01,15.79,
2012-02,14.56,
2012-03,14.16,
2012-04,15.55,
2012-05,16.15,
2012-06,16.82,
2012-07,16.61,
2012-08,18.55,
2012-09,16.21,
2012-10,15.07,
2012-11,15.18,
2012-12,16.19,
2013-01,15.45,
2013-02,16.54,
2013-03,17.70,
2013-04,16.97,
2013-05,14.71,
2013-06,16.07,
2013-07,14.54,
2013-08,15.71,
2013-09,18.19,
2013-10,16.85,
2013-11,17.32,
2013-12,16.92,
2014-01,17.00,
2014-02,15.90,
2014-03,15.34,
2014-04,17.53,
2014-05,18.17,
2014-06,16.26,
2014-07,21.75,
2014-08,17.40,
2014-09,18.69,
2014-10,20.95,
2014-11,17.87,
2014-12,21.67,
