"",BBK01.OECI02O,BBK01.OECI02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:29,
2002-01,1.695,
2002-04,1.903,
2002-07,1.983,
2002-10,2.054,
2003-01,2.023,
2003-04,2.144,
2003-07,2.156,
2003-10,2.297,
2004-01,2.102,
2004-04,2.080,
2004-07,2.030,
2004-10,2.194,
2005-01,2.534,
2005-04,2.826,
2005-07,2.703,
2005-10,3.032,
2006-01,2.783,
2006-04,2.715,
2006-07,2.800,
2006-10,2.936,
2007-01,2.754,
2007-04,2.886,
2007-07,3.046,
2007-10,3.633,
2008-01,3.294,
2008-04,3.344,
2008-07,3.524,
2008-10,3.895,
2009-01,4.067,
2009-04,4.203,
2009-07,4.508,
2009-10,4.725,
2010-01,4.602,
2010-04,4.819,
2010-07,4.913,
2010-10,4.858,
2011-01,4.617,
2011-04,4.684,
2011-07,5.117,
2011-10,4.973,
2012-01,4.888,
2012-04,5.069,
2012-07,5.606,
2012-10,6.630,
2013-01,6.449,
2013-04,5.981,
2013-07,5.837,
2013-10,5.731,
2014-01,5.646,
2014-04,5.696,
2014-07,6.417,
