"",BBK01.OEAF35S,BBK01.OEAF35S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:10:00,
2002-01,1.005,
2002-04,1.020,
2002-07,1.053,
2002-10,1.060,
2003-01,1.045,
2003-04,1.059,
2003-07,1.010,
2003-10,1.000,
2004-01,1.106,
2004-04,1.106,
2004-07,1.019,
2004-10,1.006,
2005-01,0.991,
2005-04,0.986,
2005-07,0.963,
2005-10,0.903,
2006-01,0.883,
2006-04,0.900,
2006-07,0.918,
2006-10,0.922,
2007-01,0.915,
2007-04,0.932,
2007-07,0.939,
2007-10,0.917,
2008-01,0.927,
2008-04,0.952,
2008-07,0.983,
2008-10,1.006,
2009-01,1.005,
2009-04,1.031,
2009-07,1.072,
2009-10,1.329,
2010-01,1.093,
2010-04,1.104,
2010-07,1.094,
2010-10,1.116,
2011-01,1.108,
2011-04,1.121,
2011-07,1.142,
2011-10,1.171,
2012-01,1.166,
2012-04,1.187,
2012-07,1.189,
2012-10,1.160,
2013-01,1.149,
2013-04,1.167,
2013-07,1.173,
2013-10,1.181,
2014-01,1.188,
2014-04,1.221,
2014-07,1.237,
