"",BBK01.OEAC47K,BBK01.OEAC47K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:54:35,
2002-01,3.672,
2002-04,3.694,
2002-07,3.673,
2002-10,3.619,
2003-01,3.505,
2003-04,3.266,
2003-07,3.195,
2003-10,3.249,
2004-01,3.235,
2004-04,3.227,
2004-07,3.041,
2004-10,3.069,
2005-01,3.165,
2005-04,2.985,
2005-07,3.171,
2005-10,3.117,
2006-01,2.991,
2006-04,3.052,
2006-07,3.145,
2006-10,3.245,
2007-01,2.710,
2007-04,2.664,
2007-07,2.646,
2007-10,2.648,
2008-01,3.425,
2008-04,3.488,
2008-07,3.499,
2008-10,3.302,
2009-01,2.894,
2009-04,2.890,
2009-07,2.721,
2009-10,2.691,
2010-01,2.749,
2010-04,2.944,
2010-07,3.173,
2010-10,3.168,
2011-01,3.154,
2011-04,3.000,
2011-07,2.993,
2011-10,3.001,
2012-01,2.909,
2012-04,2.798,
2012-07,2.846,
2012-10,2.717,
2013-01,2.572,
2013-04,2.658,
2013-07,2.559,
2013-10,2.381,
2014-01,2.320,
2014-04,2.294,
2014-07,2.238,
