"",BBEX3.M.HRK.EUR.CA.AB.A01,BBEX3.M.HRK.EUR.CA.AB.A01_FLAGS
"",Exchange rates for the euro in Croatia / EUR 1 = HRK ... (selling),
unit,HRK (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:17:50,
1999-01,7.466000,
1999-02,7.633800,
1999-03,7.662542,
1999-04,7.651208,
1999-05,7.654330,
1999-06,7.657074,
1999-07,7.657074,
1999-08,7.657074,
1999-09,7.704014,
1999-10,7.714576,
1999-11,7.732374,
1999-12,7.750954,
2000-01,7.794960,
2000-02,7.805475,
2000-03,7.802295,
2000-04,7.784184,
2000-05,7.757800,
2000-06,7.712718,
2000-07,7.675400,
2000-08,7.639472,
2000-09,7.592336,
2000-10,7.617958,
2000-11,7.651207,
2000-12,7.682500,
2001-01,7.762689,
2001-02,7.790071,
2001-03,7.770278,
2001-04,7.639472,
2001-05,7.397149,
2001-06,7.411090,
2001-07,7.275000,
2001-08,7.725000,
2001-09,7.661500,
2001-10,7.562000,
2001-11,7.551500,
2001-12,7.473210,
2002-01,7.674440,
2002-02,7.542000,
2002-03,7.485000,
2002-04,7.468000,
2002-05,7.452000,
2002-06,7.399000,
2002-07,7.488000,
2002-08,7.470000,
2002-09,7.434900,
2002-10,7.579000,
2002-11,7.512500,
2002-12,7.523000,
2003-01,7.638000,
2003-02,7.704000,
2003-03,7.769990,
2003-04,7.663000,
2003-05,7.651000,
2003-06,7.614340,
2003-07,7.652500,
2003-08,7.577000,
2003-09,7.692300,
2003-10,7.719500,
2003-11,7.781600,
2003-12,7.786600,
2004-01,7.810000,
2004-02,7.755000,
2004-03,7.545000,
2004-04,7.690000,
2004-05,7.529500,
2004-06,7.514000,
2004-07,7.558000,
2004-08,7.545000,
2004-09,7.704000,
2004-10,7.664000,
2004-11,7.776000,
2004-12,7.843000,
2005-01,7.729700,
2005-02,7.685100,
2005-03,7.618000,
2005-04,7.450000,
2005-05,7.359000,
2005-06,7.362000,
2005-07,7.348000,
2005-08,7.460000,
2005-09,7.493000,
2005-10,7.435000,
2005-11,7.454000,
2005-12,7.433000,
2006-01,7.411000,
2006-02,7.360000,
2006-03,7.380000,
2006-04,7.345000,
2006-05,7.315000,
2006-06,7.305000,
2006-07,7.310000,
2006-08,7.366000,
2006-09,7.440000,
2006-10,7.415000,
2006-11,7.405000,
2006-12,7.405000,
2007-01,7.425000,
2007-02,7.400000,
2007-03,7.460000,
2007-04,7.420000,
2007-05,7.360000,
2007-06,7.350000,
2007-07,7.340000,
2007-08,7.370000,
2007-09,7.335000,
2007-10,7.402500,
2007-11,7.370000,
2007-12,7.380000,
2008-01,7.295000,
2008-02,7.315000,
2008-03,7.315000,
2008-04,7.325000,
2008-05,7.305000,
2008-06,7.290000,
2008-07,7.280000,
2008-08,7.200000,
2008-09,7.160000,
2008-10,7.240000,
2008-11,7.190000,
2008-12,7.390000,
2009-01,7.440000,
2009-02,7.470000,
2009-03,7.520000,
2009-04,7.480000,
2009-05,7.405000,
2009-06,7.330000,
2009-07,7.410000,
2009-08,7.400000,
2009-09,7.350000,
2009-10,7.280000,
2009-11,7.372000,
2009-12,7.361000,
2010-01,7.368000,
2010-02,7.325000,
2010-03,7.320000,
2010-04,7.300000,
2010-05,7.315000,
2010-06,7.250000,
2010-07,7.300000,
2010-08,7.330000,
2010-09,7.345000,
2010-10,7.361291,
2010-11,7.442586,
2010-12,7.407329,
2011-01,7.429425,
2011-02,7.437064,
2011-03,7.404955,
2011-04,7.369457,
2011-05,7.454191,
2011-06,7.396068,
2011-07,7.474427,
2011-08,7.493271,
2011-09,7.514499,
2011-10,7.507785,
2011-11,7.521082,
2011-12,7.553011,
2012-01,7.587494,
2012-02,7.599429,
2012-03,7.529438,
2012-04,7.554034,
2012-05,7.582247,
2012-06,7.539110,
2012-07,7.540858,
2012-08,7.501320,
2012-09,7.472095,
2012-10,7.555731,
2012-11,7.573314,
2012-12,7.568261,
2013-01,7.604692,
2013-02,7.608418,
2013-03,7.609487,
2013-04,7.623480,
2013-05,7.578899,
2013-06,7.473698,
2013-07,7.512541,
2013-08,7.576553,
2013-09,7.634428,
2013-10,7.642719,
2013-11,7.653707,
2013-12,7.660556,
2014-01,7.667851,
2014-02,7.681243,
2014-03,7.681369,
2014-04,7.627005,
2014-05,7.611702,
2014-06,7.594085,
2014-07,7.659414,
2014-08,7.650014,
2014-09,7.649146,
2014-10,7.685610,
2014-11,7.696147,
2014-12,7.684455,
2015-01,7.717146,
"","Source: Since October 2010: Croatian National Bank, Zagreb. 1999 - September 2010: Zagrebacka Banka, Zagreb.",
