"",BBK01.OEYB08I,BBK01.OEYB08I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:27:40,
2002-01,67.337,
2002-04,70.887,
2002-07,66.146,
2002-10,64.362,
2003-01,62.379,
2003-04,52.707,
2003-07,53.718,
2003-10,51.727,
2004-01,51.159,
2004-04,50.760,
2004-07,50.329,
2004-10,49.627,
2005-01,49.720,
2005-04,49.877,
2005-07,50.747,
2005-10,51.846,
2006-01,49.775,
2006-04,50.898,
2006-07,60.583,
2006-10,58.779,
2007-01,57.015,
2007-04,56.170,
2007-07,55.070,
2007-10,54.599,
2008-01,53.727,
2008-04,53.187,
2008-07,52.400,
2008-10,51.026,
2009-01,50.276,
2009-04,49.778,
2009-07,59.934,
2009-10,59.474,
2010-01,58.924,
2010-04,58.908,
2010-07,59.359,
2010-10,58.970,
2011-01,58.371,
2011-04,58.197,
2011-07,57.484,
2011-10,57.416,
2012-01,57.331,
2012-04,56.362,
2012-07,55.957,
2012-10,55.226,
2013-01,54.479,
2013-04,54.553,
2013-07,54.286,
2013-10,53.656,
2014-01,52.592,
2014-04,51.994,
2014-07,51.443,
