"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.JP.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.JP.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Japan,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:11,
2009-09,7502,
2009-10,7120,
2009-11,7071,
2009-12,7508,
2010-01,8227,
2010-02,8569,
2010-03,8966,
2010-04,8990,
2010-05,8858,
2010-06,8488,
2010-07,8178,
2010-08,8075,
2010-09,7913,
2010-10,7897,
2010-11,8676,
2010-12,9374,
2011-01,9132,
2011-02,9770,
2011-03,7688,
2011-04,7054,
2011-05,7023,
2011-06,7013,
2011-07,7441,
2011-08,6592,
2011-09,6655,
2011-10,6475,
2011-11,6401,
2011-12,6480,
2012-01,6607,
2012-02,6620,
2012-03,6555,
2012-04,6602,
2012-05,6564,
2012-06,6570,
2012-07,6614,
2012-08,6491,
2012-09,6316,
2012-10,6357,
2012-11,6339,
2012-12,6391,
2013-01,6489,
2013-02,7042,
2013-03,7950,
2013-04,8633,
2013-05,8245,
2013-06,8523,
2013-07,8667,
2013-08,8457,
2013-09,9042,
2013-10,8884,
2013-11,8964,
2013-12,9456,
2014-01,9495,
2014-02,9305,
2014-03,9146,
2014-04,9094,
2014-05,9891,
2014-06,10343,
2014-07,11036,
2014-08,11068,
2014-09,11508,
2014-10,11442,
2014-11,11622,
