"",BBSF2.M.1.T.00000.TOT01.I.F.SVG.GR.00000.F03300.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.SVG.GR.00000.F03300.Z01.00_FLAGS
"",Funds total / Funds total / Debt securities total / Greece,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:21,
2009-09,8868,
2009-10,9256,
2009-11,9561,
2009-12,9308,
2010-01,8488,
2010-02,8774,
2010-03,9409,
2010-04,7031,
2010-05,6264,
2010-06,4836,
2010-07,4591,
2010-08,4383,
2010-09,4625,
2010-10,4548,
2010-11,4154,
2010-12,4020,
2011-01,4078,
2011-02,3966,
2011-03,3556,
2011-04,2743,
2011-05,2343,
2011-06,2155,
2011-07,2156,
2011-08,1818,
2011-09,1417,
2011-10,1395,
2011-11,959,
2011-12,951,
2012-01,889,
2012-02,795,
2012-03,226,
2012-04,186,
2012-05,77,
2012-06,74,
2012-07,74,
2012-08,81,
2012-09,88,
2012-10,101,
2012-11,105,
2012-12,37,
2013-01,31,
2013-02,32,
2013-03,29,
2013-04,29,
2013-05,32,
2013-06,29,
2013-07,33,
2013-08,28,
2013-09,30,
2013-10,33,
2013-11,50,
2013-12,53,
2014-01,41,
2014-02,36,
2014-03,38,
2014-04,55,
2014-05,59,
2014-06,62,
2014-07,57,
2014-08,56,
2014-09,54,
2014-10,66,
2014-11,72,
