"",BBK01.OEYK02G,BBK01.OEYK02G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:11:51,
2002-01,0.545,
2002-04,0.496,
2002-07,0.491,
2002-10,0.514,
2003-01,0.752,
2003-04,0.584,
2003-07,0.548,
2003-10,0.537,
2004-01,0.745,
2004-04,0.540,
2004-07,0.535,
2004-10,0.591,
2005-01,0.857,
2005-04,0.679,
2005-07,1.013,
2005-10,1.036,
2006-01,1.286,
2006-04,1.042,
2006-07,1.076,
2006-10,1.118,
2007-01,1.387,
2007-04,1.279,
2007-07,1.182,
2007-10,1.269,
2008-01,1.483,
2008-04,1.308,
2008-07,1.238,
2008-10,1.402,
2009-01,1.747,
2009-04,1.875,
2009-07,2.126,
2009-10,2.204,
2010-01,2.267,
2010-04,2.229,
2010-07,2.213,
2010-10,2.319,
2011-01,2.303,
2011-04,2.286,
2011-07,2.274,
2011-10,2.269,
2012-01,2.296,
2012-04,2.242,
2012-07,2.328,
2012-10,2.413,
2013-01,2.414,
2013-04,2.424,
2013-07,2.400,
2013-10,2.601,
2014-01,2.416,
2014-04,2.462,
2014-07,2.486,
