"",BBAI3.Q.DE.N.V.BF90.F.RV.A1.S.2.N.E.Z,BBAI3.Q.DE.N.V.BF90.F.RV.A1.S.2.N.E.Z_FLAGS
"",Liabilities / Reinsurance companies / Total financial assets / liabilities / World / Total economy including non-residents (all sectors) / Net worth,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-01-08 10:29:42,
2005-10,30706,
2006-01,33474,
2006-04,40948,
2006-07,28122,
2006-10,22156,
2007-01,19856,
2007-04,13715,
2007-07,17730,
2007-10,23693,
2008-01,33169,
2008-04,39092,
2008-07,42803,
2008-10,51021,
2009-01,60234,
2009-04,50080,
2009-07,34495,
2009-10,34616,
2010-01,30868,
2010-04,43459,
2010-07,43757,
2010-10,40304,
2011-01,33291,
2011-04,34809,
2011-07,54779,
2011-10,55523,
2012-01,41545,
2012-04,47899,
2012-07,40248,
2012-10,32386,
2013-01,25271,
2013-04,21455,
2013-07,19363,
2013-10,9716,
2014-01,16387,
2014-04,22179,
2014-07,22153,
