"",BBK01.OEAC60J,BBK01.OEAC60J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:56:09,
2002-01,0.522,
2002-04,0.522,
2002-07,0.519,
2002-10,0.509,
2003-01,0.490,
2003-04,0.435,
2003-07,0.467,
2003-10,0.468,
2004-01,0.453,
2004-04,0.452,
2004-07,0.450,
2004-10,0.458,
2005-01,0.377,
2005-04,0.372,
2005-07,0.362,
2005-10,0.387,
2006-01,0.384,
2006-04,0.384,
2006-07,0.374,
2006-10,0.373,
2007-01,0.377,
2007-04,0.374,
2007-07,0.391,
2007-10,0.387,
2008-01,0.391,
2008-04,0.394,
2008-07,0.376,
2008-10,0.383,
2009-01,0.376,
2009-04,0.373,
2009-07,0.320,
2009-10,0.308,
2010-01,0.197,
2010-04,0.306,
2010-07,0.304,
2010-10,0.309,
2011-01,0.305,
2011-04,0.257,
2011-07,0.300,
2011-10,0.296,
2012-01,0.294,
2012-04,0.292,
2012-07,0.288,
2012-10,0.293,
2013-01,0.295,
2013-04,0.291,
2013-07,0.282,
2013-10,0.282,
2014-01,0.282,
2014-04,0.279,
2014-07,0.287,
