"",BBK01.OEAC11R,BBK01.OEAC11R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:45,
2002-01,3.273,
2002-04,3.233,
2002-07,3.281,
2002-10,3.314,
2003-01,3.170,
2003-04,3.195,
2003-07,3.430,
2003-10,3.416,
2004-01,3.335,
2004-04,3.273,
2004-07,3.307,
2004-10,3.290,
2005-01,3.324,
2005-04,3.273,
2005-07,3.328,
2005-10,3.358,
2006-01,3.370,
2006-04,3.428,
2006-07,3.485,
2006-10,3.567,
2007-01,3.607,
2007-04,3.632,
2007-07,3.553,
2007-10,3.389,
2008-01,3.578,
2008-04,3.585,
2008-07,3.611,
2008-10,3.637,
2009-01,3.666,
2009-04,3.716,
2009-07,3.728,
2009-10,3.622,
2010-01,3.799,
2010-04,3.824,
2010-07,3.880,
2010-10,3.921,
2011-01,3.940,
2011-04,3.966,
2011-07,3.953,
2011-10,3.939,
2012-01,3.937,
2012-04,4.120,
2012-07,4.139,
2012-10,4.266,
2013-01,4.284,
2013-04,4.350,
2013-07,4.406,
2013-10,4.476,
2014-01,4.500,
2014-04,4.532,
2014-07,4.550,
