"",BBK01.OEXB03K,BBK01.OEXB03K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:27,
2002-01,3.418,
2002-04,3.182,
2002-07,3.155,
2002-10,3.430,
2003-01,3.669,
2003-04,4.175,
2003-07,5.195,
2003-10,4.480,
2004-01,5.187,
2004-04,4.453,
2004-07,4.523,
2004-10,4.028,
2005-01,3.342,
2005-04,3.338,
2005-07,3.456,
2005-10,3.472,
2006-01,3.510,
2006-04,3.603,
2006-07,3.648,
2006-10,3.807,
2007-01,3.940,
2007-04,4.224,
2007-07,4.325,
2007-10,4.281,
2008-01,4.392,
2008-04,4.574,
2008-07,4.975,
2008-10,5.177,
2009-01,5.135,
2009-04,5.805,
2009-07,5.724,
2009-10,5.991,
2010-01,5.932,
2010-04,4.557,
2010-07,4.500,
2010-10,4.352,
2011-01,4.170,
2011-04,4.250,
2011-07,4.303,
2011-10,4.293,
2012-01,4.020,
2012-04,3.952,
2012-07,4.096,
2012-10,4.338,
2013-01,4.430,
2013-04,4.465,
2013-07,4.521,
2013-10,4.582,
2014-01,4.501,
2014-04,4.389,
2014-07,4.670,
