"",BBK01.OEXB03P,BBK01.OEXB03P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:22,
2002-01,0.141,
2002-04,0.137,
2002-07,0.134,
2002-10,0.126,
2003-01,0.130,
2003-04,0.146,
2003-07,0.116,
2003-10,0.113,
2004-01,0.111,
2004-04,0.108,
2004-07,0.109,
2004-10,0.106,
2005-01,0.105,
2005-04,0.110,
2005-07,0.115,
2005-10,0.116,
2006-01,0.118,
2006-04,0.118,
2006-07,0.124,
2006-10,0.130,
2007-01,0.131,
2007-04,0.126,
2007-07,0.131,
2007-10,0.131,
2008-01,0.126,
2008-04,0.123,
2008-07,0.123,
2008-10,0.125,
2009-01,0.129,
2009-04,0.130,
2009-07,0.127,
2009-10,0.127,
2010-01,0.123,
2010-04,0.137,
2010-07,0.135,
2010-10,0.133,
2011-01,0.132,
2011-04,0.126,
2011-07,0.129,
2011-10,0.118,
2012-01,0.120,
2012-04,0.120,
2012-07,0.119,
2012-10,0.116,
2013-01,0.124,
2013-04,0.120,
2013-07,0.130,
2013-10,0.130,
2014-01,0.120,
2014-04,0.119,
2014-07,0.120,
