"",BBK01.TUB600,BBK01.TUB600_FLAGS
"",Gold and gold receivables / Deutsche Bundesbank,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-02 10:39:55,
2002-01,35005,
2002-02,35005,
2002-03,38505,
2002-04,38505,
2002-05,38505,
2002-06,35435,
2002-07,35435,
2002-08,35435,
2002-09,36225,
2002-10,36225,
2002-11,36225,
2002-12,36208,
2003-01,36208,
2003-02,36208,
2003-03,34100,
2003-04,34100,
2003-05,34072,
2003-06,33435,
2003-07,33401,
2003-08,33401,
2003-09,36491,
2003-10,36491,
2003-11,36491,
2003-12,36533,
2004-01,36533,
2004-02,36532,
2004-03,38266,
2004-04,38266,
2004-05,38266,
2004-06,35793,
2004-07,35757,
2004-08,35757,
2004-09,36680,
2004-10,36680,
2004-11,36680,
2004-12,35495,
2005-01,35495,
2005-02,35495,
2005-03,36399,
2005-04,36399,
2005-05,36363,
2005-06,39816,
2005-07,39810,
2005-08,39810,
2005-09,43325,
2005-10,43325,
2005-11,43325,
2005-12,47924,
2006-01,47924,
2006-02,47924,
2006-03,53173,
2006-04,53173,
2006-05,53141,
2006-06,51983,
2006-07,51983,
2006-08,51983,
2006-09,52302,
2006-10,52302,
2006-11,52302,
2006-12,53114,
2007-01,53114,
2007-02,53114,
2007-03,54820,
2007-04,54820,
2007-05,54789,
2007-06,52809,
2007-07,52761,
2007-08,52761,
2007-09,57168,
2007-10,57168,
2007-11,57168,
2007-12,62433,
2008-01,62433,
2008-02,62433,
2008-03,65126,
2008-04,65126,
2008-05,65126,
2008-06,64930,
2008-07,64930,
2008-08,64930,
2008-09,68808,
2008-10,68808,
2008-11,68808,
2008-12,68194,
2009-01,68194,
2009-02,68194,
2009-03,75726,
2009-04,75726,
2009-05,75726,
2009-06,72955,
2009-07,72955,
2009-08,72955,
2009-09,74913,
2009-10,74913,
2009-11,74893,
2009-12,83939,
2010-01,83939,
2010-02,83939,
2010-03,90158,
2010-04,90158,
2010-05,90158,
2010-06,110727,
2010-07,110600,
2010-08,110600,
2010-09,105059,
2010-10,105059,
2010-11,105059,
2010-12,115403,
2011-01,115403,
2011-02,115403,
2011-03,110136,
2011-04,110136,
2011-05,110136,
2011-06,114087,
2011-07,114087,
2011-08,114087,
2011-09,131912,
2011-10,131731,
2011-11,131731,
2011-12,132874,
2012-01,132874,
2012-02,132874,
2012-03,135777,
2012-04,135777,
2012-05,135777,
2012-06,136094,
2012-07,136094,
2012-08,136094,
2012-09,150373,
2012-10,150187,
2012-11,150187,
2012-12,137513,
2013-01,137513,
2013-02,137513,
2013-03,136454,
2013-04,136454,
2013-05,136454,
2013-06,100280,
2013-07,100280,
2013-08,100280,
2013-09,107819,
2013-10,107711,
2013-11,107711,
2013-12,94876,
2014-01,94876,
2014-02,94876,
2014-03,102179,
2014-04,102179,
2014-05,102111,
2014-06,104600,
2014-07,104600,
2014-08,104600,
2014-09,104629,
2014-10,104629,
2014-11,104629,
2014-12,107475,
