"",BBK01.OEAA10P,BBK01.OEAA10P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:50,
2002-01,3.529,
2002-04,3.612,
2002-07,3.556,
2002-10,2.895,
2003-01,3.040,
2003-04,2.985,
2003-07,2.738,
2003-10,2.597,
2004-01,2.458,
2004-04,2.369,
2004-07,2.472,
2004-10,2.379,
2005-01,2.398,
2005-04,2.479,
2005-07,2.532,
2005-10,2.453,
2006-01,2.520,
2006-04,2.645,
2006-07,2.427,
2006-10,2.497,
2007-01,2.356,
2007-04,2.315,
2007-07,2.315,
2007-10,2.323,
2008-01,2.341,
2008-04,2.461,
2008-07,2.367,
2008-10,2.336,
2009-01,2.358,
2009-04,2.308,
2009-07,2.257,
2009-10,2.390,
2010-01,2.466,
2010-04,2.348,
2010-07,2.213,
2010-10,2.471,
2011-01,2.614,
2011-04,2.699,
2011-07,2.344,
2011-10,2.540,
2012-01,2.633,
2012-04,2.327,
2012-07,2.306,
2012-10,2.336,
2013-01,2.335,
2013-04,2.507,
2013-07,2.642,
2013-10,2.480,
2014-01,2.517,
2014-04,2.610,
2014-07,2.558,
