"",BBK01.OEYB19S,BBK01.OEYB19S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:39:36,
2002-01,0.019,
2002-04,0.018,
2002-07,0.018,
2002-10,0.016,
2003-01,0.015,
2003-04,0.016,
2003-07,0.015,
2003-10,0.014,
2004-01,0.013,
2004-04,0.018,
2004-07,0.024,
2004-10,0.027,
2005-01,0.027,
2005-04,0.029,
2005-07,0.032,
2005-10,0.033,
2006-01,0.033,
2006-04,0.033,
2006-07,0.033,
2006-10,0.035,
2007-01,0.036,
2007-04,0.037,
2007-07,0.043,
2007-10,0.048,
2008-01,0.053,
2008-04,0.054,
2008-07,0.055,
2008-10,0.055,
2009-01,0.057,
2009-04,0.059,
2009-07,0.061,
2009-10,0.064,
2010-01,0.067,
2010-04,0.075,
2010-07,0.100,
2010-10,0.102,
2011-01,0.104,
2011-04,0.107,
2011-07,0.107,
2011-10,0.104,
2012-01,0.102,
2012-04,0.105,
2012-07,0.108,
2012-10,0.109,
2013-01,0.109,
2013-04,0.110,
2013-07,0.111,
2013-10,0.114,
2014-01,0.120,
2014-04,0.128,
2014-07,0.140,
