"",BBFN1.M.DE.N.1.L.A1.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.A1.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Countries in America,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:21:17,
1995-01,20.050,
1995-02,20.240,
1995-03,20.436,
1995-04,22.355,
1995-05,22.284,
1995-06,22.995,
1995-07,22.387,
1995-08,22.174,
1995-09,22.579,
1995-10,24.307,
1995-11,24.504,
1995-12,24.946,
1996-01,24.723,
1996-02,25.333,
1996-03,25.502,
1996-04,27.962,
1996-05,28.032,
1996-06,26.792,
1996-07,25.641,
1996-08,25.485,
1996-09,25.767,
1996-10,26.576,
1996-11,26.544,
1996-12,30.806,
1997-01,32.344,
1997-02,33.292,
1997-03,34.300,
1997-04,35.925,
1997-05,34.601,
1997-06,35.449,
1997-07,33.869,
1997-08,31.398,
1997-09,33.580,
1997-10,27.461,
1997-11,30.399,
1997-12,32.333,
1998-01,32.003,
1998-02,35.160,
1998-03,40.379,
1998-04,38.872,
1998-05,40.593,
1998-06,40.549,
1998-07,37.497,
1998-08,34.199,
1998-09,38.817,
1998-10,31.885,
1998-11,35.682,
1998-12,39.313,
1999-01,42.328,
1999-02,44.330,
1999-03,48.368,
1999-04,52.605,
1999-05,55.431,
1999-06,56.685,
1999-07,48.853,
1999-08,46.926,
1999-09,45.797,
1999-10,53.599,
1999-11,51.854,
1999-12,50.328,
2000-01,50.186,
2000-02,52.016,
2000-03,63.081,
2000-04,65.714,
2000-05,74.315,
2000-06,67.889,
2000-07,62.634,
2000-08,60.588,
2000-09,58.629,
2000-10,52.034,
2000-11,61.496,
2000-12,62.170,
2001-01,60.458,
2001-02,62.751,
2001-03,69.863,
2001-04,72.272,
2001-05,81.469,
2001-06,80.884,
2001-07,75.424,
2001-08,71.986,
2001-09,78.443,
2001-10,79.243,
2001-11,69.673,
2001-12,71.914,
2002-01,69.542,
2002-02,66.267,
2002-03,61.127,
2002-04,62.629,
2002-05,63.735,
2002-06,63.700,
2002-07,61.642,
2002-08,61.611,
2002-09,61.967,
2002-10,62.016,
2002-11,66.571,
2002-12,66.771,
2003-01,65.006,
2003-02,65.033,
2003-03,67.246,
2003-04,66.237,
2003-05,65.277,
2003-06,65.521,
2003-07,66.448,
2003-08,64.945,
2003-09,69.982,
2003-10,66.407,
2003-11,66.325,
2003-12,59.117,
2004-01,58.574,
2004-02,60.185,
2004-03,63.676,
2004-04,61.895,
2004-05,60.349,
2004-06,61.754,
2004-07,60.958,
2004-08,59.984,
2004-09,60.890,
2004-10,59.358,
2004-11,59.999,
2004-12,61.955,
2005-01,57.943,
2005-02,57.868,
2005-03,60.336,
2005-04,59.841,
2005-05,61.051,
2005-06,59.890,
2005-07,59.333,
2005-08,58.136,
2005-09,62.951,
2005-10,62.587,
2005-11,62.590,
2005-12,59.070,
2006-01,57.613,
2006-02,57.673,
2006-03,58.128,
2006-04,58.393,
2006-05,60.142,
2006-06,63.395,
2006-07,62.017,
2006-08,61.858,
2006-09,56.622,
2006-10,55.888,
2006-11,57.043,
2006-12,61.874,
2007-01,62.849,
2007-02,63.675,
2007-03,63.969,
2007-04,64.578,
2007-05,62.400,
2007-06,65.154,
2007-07,64.891,
2007-08,66.494,
2007-09,65.951,
2007-10,67.261,
2007-11,68.875,
2007-12,68.462,
2008-01,64.809,
2008-02,65.848,
2008-03,65.397,
2008-04,69.855,
2008-05,67.563,
2008-06,68.491,
2008-07,66.685,
2008-08,67.134,
2008-09,69.996,
2008-10,71.775,
2008-11,70.847,
2008-12,70.272,
2009-01,70.755,
2009-02,70.671,
2009-03,68.525,
2009-04,68.075,
2009-05,67.406,
2009-06,67.288,
2009-07,66.816,
2009-08,68.027,
2009-09,68.902,
2009-10,68.351,
2009-11,68.354,
2009-12,70.169,
2010-01,70.158,
2010-02,69.485,
2010-03,72.282,
2010-04,70.044,
2010-05,74.972,
2010-06,74.758,
2010-07,74.366,
2010-08,75.572,
2010-09,74.672,
2010-10,73.481,
2010-11,77.551,
2010-12,78.986,
2011-01,79.355,
2011-02,78.529,
2011-03,77.771,
2011-04,78.629,
2011-05,77.421,
2011-06,78.273,
2011-07,78.051,
2011-08,78.563,
2011-09,81.219,
2011-10,80.916,
2011-11,83.762,
2011-12,85.980,
2012-01,84.843,
2012-02,84.164,
2012-03,83.863,
2012-04,84.775,
2012-05,87.221,
2012-06,87.492,
2012-07,87.952,
2012-08,88.158,
2012-09,89.323,
2012-10,88.055,
2012-11,88.819,
2012-12,87.485,
2013-01,86.368,
2013-02,88.182,
2013-03,88.342,
2013-04,87.629,
2013-05,88.516,
2013-06,90.123,
2013-07,84.287,
2013-08,84.764,
2013-09,87.920,
2013-10,86.066,
2013-11,86.512,
2013-12,89.976,
2014-01,87.985,
2014-02,89.534,
2014-03,90.018,
2014-04,90.600,
2014-05,89.727,
2014-06,91.260,
2014-07,90.201,
2014-08,92.927,
2014-09,93.695,
2014-10,92.178,
2014-11,91.736,
2014-12,88.419,
"",General: Up to December including Niederl.Antillen,
