"",BBK01.OEAA49M,BBK01.OEAA49M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:57,
2002-01,12.042,
2002-04,10.573,
2002-07,10.986,
2002-10,10.665,
2003-01,10.591,
2003-04,12.123,
2003-07,11.896,
2003-10,11.395,
2004-01,11.739,
2004-04,11.867,
2004-07,12.184,
2004-10,11.741,
2005-01,11.971,
2005-04,12.603,
2005-07,12.348,
2005-10,13.342,
2006-01,12.931,
2006-04,13.413,
2006-07,13.615,
2006-10,15.117,
2007-01,15.395,
2007-04,15.738,
2007-07,15.526,
2007-10,16.976,
2008-01,17.663,
2008-04,19.502,
2008-07,21.445,
2008-10,22.362,
2009-01,22.785,
2009-04,22.124,
2009-07,21.402,
2009-10,21.691,
2010-01,23.599,
2010-04,22.643,
2010-07,21.188,
2010-10,20.997,
2011-01,20.088,
2011-04,20.244,
2011-07,21.003,
2011-10,21.276,
2012-01,22.401,
2012-04,22.535,
2012-07,22.046,
2012-10,21.360,
2013-01,21.637,
2013-04,20.994,
2013-07,20.073,
2013-10,19.409,
2014-01,20.263,
2014-04,20.418,
2014-07,20.716,
