"",BBK01.OECB11N,BBK01.OECB11N_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:32:50,
2002-01,2.483,
2002-04,2.339,
2002-07,2.282,
2002-10,2.145,
2003-01,1.931,
2003-04,1.855,
2003-07,1.507,
2003-10,1.513,
2004-01,1.568,
2004-04,1.558,
2004-07,1.530,
2004-10,1.439,
2005-01,1.900,
2005-04,1.824,
2005-07,2.112,
2005-10,1.940,
2006-01,2.012,
2006-04,2.439,
2006-07,2.541,
2006-10,2.593,
2007-01,2.614,
2007-04,2.486,
2007-07,2.444,
2007-10,2.554,
2008-01,3.137,
2008-04,3.587,
2008-07,3.732,
2008-10,4.649,
2009-01,3.509,
2009-04,3.639,
2009-07,3.731,
2009-10,3.465,
2010-01,3.579,
2010-04,3.409,
2010-07,3.449,
2010-10,3.293,
2011-01,3.133,
2011-04,2.873,
2011-07,2.783,
2011-10,2.788,
2012-01,2.785,
2012-04,2.610,
2012-07,2.521,
2012-10,2.454,
2013-01,3.069,
2013-04,3.524,
2013-07,2.672,
2013-10,2.578,
2014-01,2.790,
2014-04,2.772,
2014-07,2.676,
