"",BBFB1.Q.N.DE.SI.S1.S1.T.L.FA.D.F._Z._T._X.N,BBFB1.Q.N.DE.SI.S1.S1.T.L.FA.D.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Direct investment / Slovenia,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:42:45,
1991-01,-,Nothing exists
1991-04,-,Nothing exists
1991-07,-,Nothing exists
1991-10,-,Nothing exists
1992-01,-,Nothing exists
1992-04,1.716,
1992-07,2.990,
1992-10,1.149,
1993-01,0.490,
1993-04,0.337,
1993-07,0.379,
1993-10,0.605,
1994-01,-0.169,
1994-04,-0.332,
1994-07,-0.097,
1994-10,-0.112,
1995-01,0.130,
1995-04,0.009,
1995-07,0.042,
1995-10,0.008,
1996-01,2.023,
1996-04,-1.822,
1996-07,4.686,
1996-10,-21.352,
1997-01,13.147,
1997-04,-0.838,
1997-07,-1.966,
1997-10,-3.669,
1998-01,-0.098,
1998-04,6.887,
1998-07,2.000,
1998-10,-3.254,
1999-01,32.861,
1999-04,-9.533,
1999-07,-4.037,
1999-10,-6.476,
2000-01,36.493,
2000-04,10.021,
2000-07,-14.124,
2000-10,43.642,
2001-01,-26.655,
2001-04,20.903,
2001-07,-25.499,
2001-10,1.808,
2002-01,16.622,
2002-04,-12.763,
2002-07,14.320,
2002-10,-19.893,
2003-01,9.207,
2003-04,0.278,
2003-07,-7.975,
2003-10,-2.157,
2004-01,3.189,
2004-04,8.253,
2004-07,46.363,
2004-10,-24.919,
2005-01,-21.565,
2005-04,7.256,
2005-07,4.753,
2005-10,1.979,
2006-01,19.749,
2006-04,-14.359,
2006-07,-35.719,
2006-10,9.006,
2007-01,7.993,
2007-04,11.790,
2007-07,-3.075,
2007-10,-3.408,
2008-01,18.513,
2008-04,8.338,
2008-07,-6.717,
2008-10,-12.061,
2009-01,18.743,
2009-04,-28.172,
2009-07,61.389,
2009-10,-18.708,
2010-01,-7.381,
2010-04,49.965,
2010-07,-51.753,
2010-10,1.374,
2011-01,5.510,
2011-04,12.749,
2011-07,-51.919,
2011-10,21.054,
2012-01,19.397,
2012-04,-40.100,
2012-07,12.756,
2012-10,18.781,
2013-01,7.013,
2013-04,16.162,
2013-07,4.755,
2013-10,-36.863,
2014-01,-23.684,Provisional value
2014-04,7.901,Provisional value
2014-07,-2.032,Provisional value
2014-10,44.602,Provisional value
