"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.NO.00013.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.NO.00013.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Norway / General Government,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:47:00,
2009-09,55,
2009-10,73,
2009-11,74,
2009-12,121,
2010-01,120,
2010-02,111,
2010-03,113,
2010-04,144,
2010-05,140,
2010-06,137,
2010-07,160,
2010-08,169,
2010-09,211,
2010-10,214,
2010-11,247,
2010-12,267,
2011-01,350,
2011-02,367,
2011-03,353,
2011-04,341,
2011-05,341,
2011-06,337,
2011-07,350,
2011-08,373,
2011-09,392,
2011-10,538,
2011-11,546,
2011-12,566,
2012-01,607,
2012-02,518,
2012-03,490,
2012-04,504,
2012-05,527,
2012-06,613,
2012-07,681,
2012-08,706,
2012-09,678,
2012-10,576,
2012-11,582,
2012-12,602,
2013-01,577,
2013-02,580,
2013-03,594,
2013-04,592,
2013-05,582,
2013-06,563,
2013-07,569,
2013-08,545,
2013-09,538,
2013-10,541,
2013-11,523,
2013-12,517,
2014-01,522,
2014-02,545,
2014-03,578,
2014-04,582,
2014-05,604,
2014-06,608,
2014-07,598,
2014-08,609,
2014-09,628,
2014-10,621,
2014-11,621,
