"",BBK01.OELJ02O,BBK01.OELJ02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:03:24,
2002-01,0.837,
2002-04,0.885,
2002-07,0.926,
2002-10,0.980,
2003-01,0.927,
2003-04,0.988,
2003-07,1.036,
2003-10,1.056,
2004-01,1.030,
2004-04,1.097,
2004-07,1.161,
2004-10,1.218,
2005-01,1.164,
2005-04,1.238,
2005-07,1.271,
2005-10,1.291,
2006-01,1.201,
2006-04,1.232,
2006-07,1.285,
2006-10,1.298,
2007-01,1.246,
2007-04,1.266,
2007-07,1.330,
2007-10,1.324,
2008-01,1.268,
2008-04,1.297,
2008-07,1.357,
2008-10,1.397,
2009-01,1.452,
2009-04,1.617,
2009-07,1.885,
2009-10,2.137,
2010-01,2.067,
2010-04,2.205,
2010-07,2.292,
2010-10,2.266,
2011-01,2.252,
2011-04,2.243,
2011-07,2.401,
2011-10,2.463,
2012-01,2.465,
2012-04,2.477,
2012-07,2.789,
2012-10,2.821,
2013-01,2.911,
2013-04,2.949,
2013-07,3.175,
2013-10,3.317,
2014-01,3.244,
2014-04,3.301,
2014-07,3.538,
