"",BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N,BBFB1.M.N.DE.W1.S1W.S1.T.C.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / All sectors excluding General government / Receipts / Rest of the World,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:39:06,
1991-01,917.833,
1991-02,889.497,
1991-03,909.233,
1991-04,906.766,
1991-05,916.746,
1991-06,888.466,
1991-07,935.269,
1991-08,933.071,
1991-09,897.099,
1991-10,931.245,
1991-11,919.435,
1991-12,932.124,
1992-01,954.853,
1992-02,945.073,
1992-03,952.940,
1992-04,964.946,
1992-05,983.636,
1992-06,962.029,
1992-07,1026.108,
1992-08,1179.247,
1992-09,1023.722,
1992-10,1059.246,
1992-11,1076.648,
1992-12,1103.106,
1993-01,1128.960,
1993-02,1126.704,
1993-03,1182.623,
1993-04,1163.344,
1993-05,1169.376,
1993-06,1253.140,
1993-07,1210.493,
1993-08,1185.705,
1993-09,1255.061,
1993-10,1205.821,
1993-11,1212.708,
1993-12,1304.794,
1994-01,1239.738,
1994-02,1183.957,
1994-03,1275.322,
1994-04,1168.854,
1994-05,1224.615,
1994-06,1242.213,
1994-07,1241.922,
1994-08,1186.800,
1994-09,1247.888,
1994-10,1217.149,
1994-11,1208.930,
1994-12,1245.067,
1995-01,1219.935,
1995-02,1231.263,
1995-03,1245.672,
1995-04,1255.562,
1995-05,1275.440,
1995-06,1198.345,
1995-07,1231.426,
1995-08,1211.596,
1995-09,1188.370,
1995-10,1239.697,
1995-11,1228.351,
1995-12,1210.198,
1996-01,1243.963,
1996-02,1242.669,
1996-03,1244.410,
1996-04,1335.072,
1996-05,1260.736,
1996-06,1247.994,
1996-07,1326.261,
1996-08,1283.634,
1996-09,1301.003,
1996-10,1346.420,
1996-11,1352.906,
1996-12,1340.836,
1997-01,1402.674,
1997-02,1385.807,
1997-03,1396.106,
1997-04,1443.316,
1997-05,1486.718,
1997-06,1410.221,
1997-07,1413.371,
1997-08,1461.139,
1997-09,1408.078,
1997-10,1426.506,
1997-11,1380.582,
1997-12,1512.679,
1998-01,1331.906,
1998-02,1399.261,
1998-03,1332.219,
1998-04,1389.480,
1998-05,1352.738,
1998-06,1375.390,
1998-07,1418.580,
1998-08,1418.436,
1998-09,1444.090,
1998-10,1583.484,
1998-11,1567.381,
1998-12,1655.729,
1999-01,1724.947,
1999-02,1808.339,
1999-03,1812.832,
1999-04,1988.897,
1999-05,1933.475,
1999-06,2036.560,
1999-07,2068.068,
1999-08,2061.825,
1999-09,2074.325,
1999-10,2103.977,
1999-11,2059.490,
1999-12,2116.127,
2000-01,1924.424,
2000-02,1892.902,
2000-03,1963.484,
2000-04,1964.682,
2000-05,2015.119,
2000-06,2002.081,
2000-07,2141.382,
2000-08,2254.430,
2000-09,2160.214,
2000-10,2462.547,
2000-11,2503.229,
2000-12,2478.235,
2001-01,2633.147,
2001-02,2682.178,
2001-03,2663.701,
2001-04,2877.743,
2001-05,2883.507,
2001-06,2863.100,
2001-07,3239.686,
2001-08,2966.071,
2001-09,3237.861,
2001-10,3072.241,
2001-11,2894.563,
2001-12,2950.629,
2002-01,2769.230,
2002-02,2822.139,
2002-03,2885.358,
2002-04,2781.206,
2002-05,2766.458,
2002-06,2718.065,
2002-07,2881.499,
2002-08,3076.147,
2002-09,2879.080,
2002-10,3090.321,
2002-11,3120.400,
2002-12,3250.814,
2003-01,3458.158,
2003-02,3457.942,
2003-03,3481.653,
2003-04,3638.820,
2003-05,3550.517,
2003-06,3763.720,
2003-07,3858.552,
2003-08,3460.032,
2003-09,3529.314,
2003-10,3232.565,
2003-11,3319.575,
2003-12,3317.222,
2004-01,2792.718,
2004-02,2757.057,
2004-03,2796.696,
