"",BBK01.OEAA21O,BBK01.OEAA21O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:18:32,
2002-01,11.623,
2002-04,11.206,
2002-07,11.730,
2002-10,11.814,
2003-01,11.573,
2003-04,11.566,
2003-07,11.657,
2003-10,14.342,
2004-01,14.309,
2004-04,14.468,
2004-07,14.792,
2004-10,14.988,
2005-01,20.379,
2005-04,20.972,
2005-07,20.991,
2005-10,21.004,
2006-01,20.771,
2006-04,20.789,
2006-07,20.705,
2006-10,20.822,
2007-01,20.321,
2007-04,20.739,
2007-07,20.526,
2007-10,20.659,
2008-01,20.792,
2008-04,20.976,
2008-07,19.236,
2008-10,18.727,
2009-01,19.014,
2009-04,18.975,
2009-07,19.304,
2009-10,20.832,
2010-01,20.623,
2010-04,21.226,
2010-07,21.319,
2010-10,21.138,
2011-01,20.735,
2011-04,20.890,
2011-07,20.978,
2011-10,20.739,
2012-01,21.341,
2012-04,21.673,
2012-07,21.406,
2012-10,21.428,
2013-01,21.277,
2013-04,21.142,
2013-07,25.234,
2013-10,25.976,
2014-01,26.772,
2014-04,26.882,
2014-07,26.605,
