"",BBK01.OEBK04H,BBK01.OEBK04H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:08:09,
2002-01,2.756,
2002-04,2.606,
2002-07,2.711,
2002-10,2.590,
2003-01,2.421,
2003-04,2.298,
2003-07,2.059,
2003-10,2.032,
2004-01,1.678,
2004-04,1.455,
2004-07,1.788,
2004-10,1.745,
2005-01,1.840,
2005-04,1.821,
2005-07,1.725,
2005-10,1.885,
2006-01,2.016,
2006-04,2.285,
2006-07,2.460,
2006-10,2.901,
2007-01,2.961,
2007-04,3.029,
2007-07,3.838,
2007-10,4.549,
2008-01,4.707,
2008-04,4.875,
2008-07,5.182,
2008-10,4.836,
2009-01,3.073,
2009-04,2.827,
2009-07,2.700,
2009-10,2.594,
2010-01,2.142,
2010-04,1.943,
2010-07,1.738,
2010-10,1.632,
2011-01,1.583,
2011-04,1.702,
2011-07,1.732,
2011-10,1.809,
2012-01,1.652,
2012-04,1.532,
2012-07,1.442,
2012-10,1.375,
2013-01,1.161,
2013-04,1.170,
2013-07,1.426,
2013-10,1.551,
2014-01,1.573,
2014-04,1.464,
2014-07,1.701,
