"",BBK01.OEXL06M,BBK01.OEXL06M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:19:21,
2002-01,0.543,
2002-04,0.571,
2002-07,0.601,
2002-10,0.591,
2003-01,0.605,
2003-04,0.703,
2003-07,0.799,
2003-10,0.840,
2004-01,0.895,
2004-04,0.893,
2004-07,0.935,
2004-10,1.108,
2005-01,1.188,
2005-04,1.474,
2005-07,1.485,
2005-10,1.524,
2006-01,1.576,
2006-04,1.600,
2006-07,1.670,
2006-10,1.713,
2007-01,1.701,
2007-04,1.582,
2007-07,1.602,
2007-10,1.698,
2008-01,1.735,
2008-04,1.710,
2008-07,1.493,
2008-10,1.658,
2009-01,2.232,
2009-04,2.655,
2009-07,2.830,
2009-10,3.301,
2010-01,3.643,
2010-04,3.798,
2010-07,3.902,
2010-10,4.035,
2011-01,4.038,
2011-04,4.234,
2011-07,4.244,
2011-10,4.268,
2012-01,3.813,
2012-04,3.729,
2012-07,3.686,
2012-10,3.291,
2013-01,2.821,
2013-04,2.481,
2013-07,2.231,
2013-10,2.147,
2014-01,1.877,
2014-04,1.310,
2014-07,1.087,
