"",BBFN1.M.DE.N.1.A.EG.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.EG.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents / Total / Egypt,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:30,
1994-12,0.407,
1995-01,0.409,
1995-02,0.402,
1995-03,0.413,
1995-04,0.426,
1995-05,0.418,
1995-06,0.414,
1995-07,0.413,
1995-08,0.396,
1995-09,0.399,
1995-10,0.393,
1995-11,0.391,
1995-12,0.396,
1996-01,0.390,
1996-02,0.402,
1996-03,0.415,
1996-04,0.425,
1996-05,0.416,
1996-06,0.428,
1996-07,0.418,
1996-08,0.411,
1996-09,0.405,
1996-10,0.417,
1996-11,0.423,
1996-12,0.426,
1997-01,0.436,
1997-02,0.439,
1997-03,0.426,
1997-04,0.443,
1997-05,0.456,
1997-06,0.454,
1997-07,0.465,
1997-08,0.491,
1997-09,0.511,
1997-10,0.509,
1997-11,0.540,
1997-12,0.542,
1998-01,0.563,
1998-02,0.595,
1998-03,0.567,
1998-04,0.598,
1998-05,0.623,
1998-06,0.611,
1998-07,0.617,
1998-08,0.641,
1998-09,0.672,
1998-10,0.684,
1998-11,0.687,
1998-12,0.702,
1999-01,0.617,
1999-02,0.559,
1999-03,0.590,
1999-04,0.508,
1999-05,0.592,
1999-06,0.653,
1999-07,0.678,
1999-08,0.659,
1999-09,0.687,
1999-10,0.664,
1999-11,0.723,
1999-12,0.714,
2000-01,0.751,
2000-02,0.729,
2000-03,0.761,
2000-04,0.751,
2000-05,0.777,
2000-06,0.780,
2000-07,0.795,
2000-08,0.822,
2000-09,0.861,
2000-10,0.840,
2000-11,0.933,
2000-12,0.733,
2001-01,0.694,
2001-02,0.711,
2001-03,0.715,
2001-04,0.698,
2001-05,0.754,
2001-06,0.820,
2001-07,0.742,
2001-08,0.921,
2001-09,0.927,
2001-10,0.920,
2001-11,0.934,
2001-12,0.958,
2002-01,0.896,
2002-02,0.855,
2002-03,0.866,
2002-04,0.872,
2002-05,0.881,
2002-06,0.841,
2002-07,0.872,
2002-08,0.747,
2002-09,0.810,
2002-10,0.804,
2002-11,0.824,
2002-12,0.827,
2003-01,0.658,
2003-02,0.621,
2003-03,0.620,
2003-04,0.594,
2003-05,0.626,
2003-06,0.606,
2003-07,0.605,
2003-08,0.627,
2003-09,0.660,
2003-10,0.628,
2003-11,0.613,
2003-12,0.604,
2004-01,0.590,
2004-02,0.609,
2004-03,0.597,
2004-04,0.636,
2004-05,0.623,
2004-06,0.645,
2004-07,0.638,
2004-08,0.651,
2004-09,0.677,
2004-10,0.668,
2004-11,0.672,
2004-12,0.629,
2005-01,0.622,
2005-02,0.646,
2005-03,0.665,
2005-04,0.704,
2005-05,0.761,
2005-06,0.758,
2005-07,0.740,
2005-08,0.760,
2005-09,0.822,
2005-10,0.826,
2005-11,0.846,
2005-12,0.851,
2006-01,0.810,
2006-02,0.862,
2006-03,0.879,
2006-04,0.892,
2006-05,0.911,
2006-06,0.912,
2006-07,0.928,
2006-08,0.944,
2006-09,0.942,
2006-10,0.902,
2006-11,0.906,
2006-12,0.867,
2007-01,0.824,
2007-02,0.828,
2007-03,0.853,
2007-04,0.865,
2007-05,0.775,
2007-06,0.779,
2007-07,0.764,
2007-08,0.759,
2007-09,0.803,
2007-10,0.787,
2007-11,0.852,
2007-12,0.875,
2008-01,0.871,
2008-02,0.775,
2008-03,0.821,
2008-04,0.836,
2008-05,0.862,
2008-06,0.916,
2008-07,0.903,
2008-08,0.946,
2008-09,0.880,
2008-10,0.920,
2008-11,0.970,
2008-12,1.037,
2009-01,0.851,
2009-02,0.867,
2009-03,0.901,
2009-04,0.875,
2009-05,0.925,
2009-06,0.946,
2009-07,0.922,
2009-08,0.909,
2009-09,0.971,
2009-10,0.941,
2009-11,0.950,
2009-12,0.948,
2010-01,0.954,
2010-02,0.992,
2010-03,1.103,
2010-04,1.054,
2010-05,1.077,
2010-06,1.135,
2010-07,1.167,
2010-08,1.128,
2010-09,1.153,
2010-10,1.221,
2010-11,1.198,
2010-12,1.254,
2011-01,1.263,
2011-02,1.318,
2011-03,1.302,
2011-04,1.312,
2011-05,1.272,
2011-06,1.347,
2011-07,1.436,
2011-08,1.422,
2011-09,1.464,
2011-10,1.488,
2011-11,1.470,
2011-12,1.443,
2012-01,1.465,
2012-02,1.455,
2012-03,1.501,
2012-04,1.576,
2012-05,1.561,
2012-06,1.625,
2012-07,1.643,
2012-08,1.626,
2012-09,1.673,
2012-10,1.623,
2012-11,1.628,
2012-12,1.620,
2013-01,1.563,
2013-02,1.591,
2013-03,1.616,
2013-04,1.654,
2013-05,1.678,
2013-06,1.755,
2013-07,2.181,
2013-08,2.176,
2013-09,2.175,
2013-10,2.175,
2013-11,2.214,
2013-12,2.196,
2014-01,2.169,
2014-02,2.175,
2014-03,2.180,
2014-04,2.193,
2014-05,2.262,
2014-06,2.265,
2014-07,2.291,
2014-08,2.321,
2014-09,2.363,
2014-10,2.382,
2014-11,2.422,
2014-12,2.365,
