"",BBK01.OEAB01S,BBK01.OEAB01S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:28,
2002-01,23.613,
2002-04,23.586,
2002-07,23.697,
2002-10,23.663,
2003-01,23.337,
2003-04,23.481,
2003-07,23.626,
2003-10,23.914,
2004-01,23.559,
2004-04,23.602,
2004-07,23.673,
2004-10,22.169,
2005-01,23.265,
2005-04,23.242,
2005-07,23.292,
2005-10,23.080,
2006-01,23.068,
2006-04,23.205,
2006-07,23.349,
2006-10,23.247,
2007-01,23.495,
2007-04,23.642,
2007-07,23.713,
2007-10,23.778,
2008-01,23.822,
2008-04,24.062,
2008-07,24.384,
2008-10,24.423,
2009-01,24.473,
2009-04,25.486,
2009-07,25.790,
2009-10,26.009,
2010-01,26.224,
2010-04,26.756,
2010-07,27.121,
2010-10,27.360,
2011-01,27.749,
2011-04,28.420,
2011-07,28.824,
2011-10,29.605,
2012-01,29.825,
2012-04,30.568,
2012-07,30.922,
2012-10,31.119,
2013-01,31.255,
2013-04,31.448,
2013-07,31.693,
2013-10,31.838,
2014-01,31.865,
2014-04,31.945,
2014-07,32.323,
