"",BBEX3.M.BAM.USD.CA.AB.A01,BBEX3.M.BAM.USD.CA.AB.A01_FLAGS
"",Exchange rates for the US dollar in Bosnia and Hercegovina / USD 1 = BAM ... (selling),
unit,BAM (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:15:53,
1997-10,1.742400,
1997-11,1.747700,
1997-12,1.780100,
1998-01,1.792400,
1998-02,1.807100,
1998-03,1.824700,
1998-04,1.796500,
1998-05,1.770100,
1998-06,1.802900,
1998-07,1.789700,
1998-08,1.800300,
1998-09,1.671400,
1998-10,1.664300,
1998-11,1.710300,
1998-12,1.677800,
1999-01,1.695600,
1999-02,1.784900,
1999-03,1.800600,
1999-04,1.844900,
1999-05,1.845200,
1999-06,1.874200,
1999-07,1.845200,
1999-08,1.875100,
1999-09,1.873400,
1999-10,1.842100,
1999-11,1.932300,
1999-12,1.937800,
2000-01,1.952714,
2000-02,1.985538,
2000-03,2.030571,
2000-04,2.097026,
2000-05,2.142863,
2000-06,2.084984,
2000-07,2.084984,
2000-08,2.177609,
2000-09,2.232911,
2000-10,2.360606,
2000-11,2.290293,
2000-12,2.106036,
2001-01,2.132840,
2001-02,2.153454,
2001-03,2.213002,
2001-04,2.175435,
2001-05,2.292703,
2001-06,2.274089,
2001-07,2.236222,
2001-08,2.149440,
2001-09,2.126825,
2001-10,2.177368,
2001-11,2.220269,
2001-12,2.222282,
2002-01,2.273562,
2002-02,2.258373,
2002-03,2.244156,
2002-04,2.185619,
2002-05,2.103776,
2002-06,1.995846,
2002-07,1.993615,
2002-08,1.991994,
2002-09,2.005031,
2002-10,1.995644,
2002-11,1.973746,
2002-12,1.881328,
2003-01,1.824264,
2003-02,1.811790,
2003-03,1.827325,
2003-04,1.789631,
2003-05,1.667846,
2003-06,1.717970,
2003-07,1.716918,
2003-08,1.810787,
2003-09,1.717970,
2003-10,1.670688,
2003-11,1.647386,
2003-12,1.569078,
2004-01,1.572602,
2004-02,1.575634,
2004-03,1.608861,
2004-04,1.657974,
2004-05,1.601110,
2004-06,1.611241,
2004-07,1.630401,
2004-08,1.627559,
2004-09,1.591106,
2004-10,1.542538,
2004-11,1.480123,
2004-12,1.441281,
2005-01,1.504196,
2005-02,1.489343,
2005-03,1.514888,
2005-04,1.519349,
2005-05,1.572097,
2005-06,1.626613,
2005-07,1.620429,
2005-08,1.609654,
2005-09,1.625399,
2005-10,1.615356,
2005-11,1.662613,
2005-12,1.662050,
2006-01,1.622844,
2006-02,1.654337,
2006-03,1.620965,
2006-04,1.579442,
2006-05,1.527159,
2006-06,1.564945,
2006-07,1.548262,
2006-08,1.529661,
2006-09,1.548751,
2006-10,1.541810,
2006-11,1.490248,
2006-12,1.488778,
2007-01,1.511501,
2007-02,1.482026,
2007-03,1.472232,
2007-04,1.437162,
2007-05,1.461042,
2007-06,1.455944,
2007-07,1.435478,
2007-08,1.440647,
2007-09,1.382833,
2007-10,1.360949,
2007-11,1.330384,
2007-12,1.334549,
2008-01,1.323916,
2008-02,1.296687,
2008-03,1.241276,
2008-04,1.259212,
2008-05,1.260832,
2008-06,1.245060,
2008-07,1.257759,
2008-08,1.330654,
2008-09,1.366451,
2008-10,1.504196,
2008-11,1.540599,
2008-12,1.390778,
2009-01,1.529900,
2009-02,1.550711,
2009-03,1.486182,
2009-04,1.478004,
2009-05,1.390778,
2009-06,1.394736,
2009-07,1.395232,
2009-08,1.365023,
2009-09,1.347666,
2009-10,1.324811,
2009-11,1.314332,
2009-12,1.367498,
2010-01,1.403923,
2010-02,1.444893,
2010-03,1.454324,
2010-04,1.479119,
2010-05,1.583268,
2010-06,1.607411,
2010-07,1.500282,
2010-08,1.543874,
2010-09,1.440540,
2010-10,1.414967,
2010-11,1.491495,
2010-12,1.476446,
2011-01,1.430138,
2011-02,1.424735,
2011-03,1.391568,
2011-04,1.319461,
2011-05,1.373823,
2011-06,1.359251,
2011-07,1.374979,
2011-08,1.361422,
2011-09,1.440117,
2011-10,1.384689,
2011-11,1.470245,
2011-12,1.515356,
2012-01,1.495591,
2012-02,1.457350,
2012-03,1.468044,
2012-04,1.482137,
2012-05,1.576394,
2012-06,1.557363,
2012-07,1.601110,
2012-08,1.563074,
2012-09,1.516412,
2012-10,1.512667,
2012-11,1.508942,
2012-12,1.487309,
2013-01,1.447987,
2013-02,1.497075,
2013-03,1.531214,
2013-04,1.495249,
2013-05,1.514771,
2013-06,1.499021,
2013-07,1.476001,
2013-08,1.481465,
2013-09,1.448415,
2013-10,1.425460,
2013-11,1.440540,
2013-12,1.422564,
2014-01,1.444467,
2014-02,1.435794,
2014-03,1.425045,
2014-04,1.418140,
2014-05,1.440434,
2014-06,1.439589,
2014-07,1.463115,
2014-08,1.486746,
2014-09,1.543752,
2014-10,1.556373,
2014-11,1.570712,
2014-12,1.612434,
2015-01,1.734382,
"","General: On 11 August 1997, the convertible marka was introduced at the rate of BAD 100 = BAM 1. Initial exchange rates (buying/selling rate) to the US dollar on 1 October 1997: USD 1 = BAM 1.7555 / 1.7643.",
"","Source: Centralna Banka Bosne i Hercegovine, Sarajevo.",
