"",BBFN1.M.DE.N.1.A.E1.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.E1.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Countries in Europe,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:08:38,
1995-01,53.629,
1995-02,53.808,
1995-03,55.661,
1995-04,55.630,
1995-05,56.036,
1995-06,56.865,
1995-07,55.188,
1995-08,54.434,
1995-09,55.870,
1995-10,55.430,
1995-11,56.960,
1995-12,52.383,
1996-01,52.004,
1996-02,52.849,
1996-03,54.282,
1996-04,54.079,
1996-05,54.405,
1996-06,55.041,
1996-07,54.015,
1996-08,52.137,
1996-09,54.370,
1996-10,54.966,
1996-11,56.656,
1996-12,54.862,
1997-01,54.863,
1997-02,55.853,
1997-03,57.668,
1997-04,58.813,
1997-05,58.629,
1997-06,59.841,
1997-07,58.734,
1997-08,56.814,
1997-09,59.501,
1997-10,61.769,
1997-11,63.117,
1997-12,59.987,
1998-01,60.308,
1998-02,62.734,
1998-03,64.390,
1998-04,65.339,
1998-05,65.561,
1998-06,65.838,
1998-07,64.968,
1998-08,62.448,
1998-09,64.534,
1998-10,65.606,
1998-11,65.707,
1998-12,62.671,
1999-01,62.048,
1999-02,63.345,
1999-03,66.224,
1999-04,65.572,
1999-05,66.172,
1999-06,67.705,
1999-07,66.464,
1999-08,65.114,
1999-09,67.702,
1999-10,69.938,
1999-11,71.705,
1999-12,69.153,
2000-01,69.502,
2000-02,72.371,
2000-03,75.673,
2000-04,75.400,
2000-05,76.478,
2000-06,76.957,
2000-07,75.984,
2000-08,75.752,
2000-09,78.332,
2000-10,80.286,
2000-11,82.121,
2000-12,78.872,
2001-01,79.255,
2001-02,80.249,
2001-03,82.520,
2001-04,81.071,
2001-05,81.901,
2001-06,82.847,
2001-07,80.637,
2001-08,79.910,
2001-09,81.923,
2001-10,83.168,
2001-11,83.635,
2001-12,79.812,
2002-01,78.016,
2002-02,78.616,
2002-03,77.156,
2002-04,78.133,
2002-05,76.839,
2002-06,79.502,
2002-07,76.820,
2002-08,74.170,
2002-09,76.361,
2002-10,78.221,
2002-11,78.455,
2002-12,74.661,
2003-01,75.102,
2003-02,75.290,
2003-03,77.778,
2003-04,78.240,
2003-05,76.142,
2003-06,77.107,
2003-07,75.750,
2003-08,73.322,
2003-09,75.547,
2003-10,77.180,
2003-11,79.235,
2003-12,74.423,
2004-01,73.188,
2004-02,75.437,
2004-03,78.624,
2004-04,77.546,
2004-05,78.566,
2004-06,81.067,
2004-07,78.382,
2004-08,75.029,
2004-09,78.465,
2004-10,80.797,
2004-11,83.319,
2004-12,77.812,
2005-01,77.436,
2005-02,78.028,
2005-03,81.858,
2005-04,81.508,
2005-05,81.131,
2005-06,83.903,
2005-07,83.054,
2005-08,79.747,
2005-09,84.873,
2005-10,86.042,
2005-11,88.725,
2005-12,85.394,
2006-01,86.877,
2006-02,88.343,
2006-03,91.777,
2006-04,90.548,
2006-05,90.372,
2006-06,92.354,
2006-07,89.936,
2006-08,87.019,
2006-09,92.525,
2006-10,93.976,
2006-11,98.091,
2006-12,93.735,
2007-01,95.273,
2007-02,97.128,
2007-03,100.548,
2007-04,98.319,
2007-05,98.931,
2007-06,101.505,
2007-07,97.862,
2007-08,95.056,
2007-09,99.529,
2007-10,101.929,
2007-11,104.462,
2007-12,98.750,
2008-01,99.415,
2008-02,103.484,
2008-03,106.156,
2008-04,107.668,
2008-05,108.588,
2008-06,110.424,
2008-07,107.879,
2008-08,104.171,
2008-09,107.696,
2008-10,108.074,
2008-11,107.277,
2008-12,99.881,
2009-01,95.234,
2009-02,96.054,
2009-03,96.866,
2009-04,91.732,
2009-05,94.129,
2009-06,97.528,
2009-07,95.572,
2009-08,90.370,
2009-09,92.876,
2009-10,95.140,
2009-11,98.000,
2009-12,91.888,
2010-01,84.843,
2010-02,85.818,
2010-03,92.553,
2010-04,90.657,
2010-05,92.785,
2010-06,96.204,
2010-07,94.023,
2010-08,91.513,
2010-09,96.676,
2010-10,98.439,
2010-11,98.603,
2010-12,94.708,
2011-01,96.266,
2011-02,101.689,
2011-03,103.815,
2011-04,102.503,
2011-05,104.030,
2011-06,105.658,
2011-07,103.155,
2011-08,99.110,
2011-09,105.466,
2011-10,106.005,
2011-11,107.525,
2011-12,104.380,
2012-01,102.797,
2012-02,105.776,
2012-03,110.525,
2012-04,105.658,
2012-05,104.904,
2012-06,109.380,
2012-07,107.311,
2012-08,103.144,
2012-09,107.465,
2012-10,107.782,
2012-11,110.560,
2012-12,102.702,
2013-01,102.271,
2013-02,104.573,
2013-03,109.485,
2013-04,106.972,
2013-05,103.310,
2013-06,108.431,
2013-07,99.974,
2013-08,98.963,
2013-09,106.263,
2013-10,107.291,
2013-11,111.780,
2013-12,105.327,
2014-01,103.744,
2014-02,105.102,
2014-03,110.030,
2014-04,107.886,
2014-05,106.698,
2014-06,109.961,
2014-07,106.919,
2014-08,104.317,
2014-09,109.301,
2014-10,109.313,
2014-11,111.942,
2014-12,106.648,
