"",BBDE1.M.DE.N.GUA1.N2G470000.A.V.I10.L,BBDE1.M.DE.N.GUA1.N2G470000.A.V.I10.L_FLAGS
"","Turnover / At current prices, flows / Germany / 47 Retail trade, except of motor vehicles and motorcycles / Unadjusted figure",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-12 14:29:29,
1950-01,4.5,
1950-02,4.5,
1950-03,5.2,
1950-04,5.2,
1950-05,5.4,
1950-06,5.0,
1950-07,5.7,
1950-08,5.6,
1950-09,5.9,
1950-10,5.8,
1950-11,6.1,
1950-12,9.1,
1951-01,6.3,
1951-02,5.7,
1951-03,6.7,
1951-04,6.1,
1951-05,6.2,
1951-06,6.3,
1951-07,6.0,
1951-08,6.3,
1951-09,6.1,
1951-10,7.1,
1951-11,6.9,
1951-12,10.3,
1952-01,6.2,
1952-02,6.1,
1952-03,6.6,
1952-04,7.2,
1952-05,7.4,
1952-06,6.1,
1952-07,7.3,
1952-08,6.6,
1952-09,6.6,
1952-10,7.4,
1952-11,7.3,
1952-12,11.0,
1953-01,6.9,
1953-02,6.2,
1953-03,7.4,
1953-04,7.5,
1953-05,7.6,
1953-06,7.1,
1953-07,8.0,
1953-08,7.2,
1953-09,7.3,
1953-10,8.3,
1953-11,8.0,
1953-12,12.0,
1954-01,7.4,
1954-02,6.9,
1954-03,7.9,
1954-04,8.8,
1954-05,8.0,
1954-06,7.8,
1954-07,8.8,
1954-08,7.6,
1954-09,7.8,
1954-10,8.8,
1954-11,8.8,
1954-12,13.4,
1955-01,7.6,
1955-02,8.0,
1955-03,8.9,
1955-04,9.5,
1955-05,9.1,
1955-06,8.4,
1955-07,9.7,
1955-08,8.6,
1955-09,8.7,
1955-10,10.0,
1955-11,10.1,
1955-12,15.0,
1956-01,8.6,
1956-02,8.8,
1956-03,11.0,
1956-04,9.3,
1956-05,10.3,
1956-06,10.3,
1956-07,10.2,
1956-08,10.2,
1956-09,9.4,
1956-10,10.7,
1956-11,11.9,
1956-12,16.6,
1957-01,10.0,
1957-02,9.5,
1957-03,10.7,
1957-04,12.0,
1957-05,11.1,
1957-06,10.7,
1957-07,11.6,
1957-08,11.2,
1957-09,10.5,
1957-10,12.0,
1957-11,12.8,
1957-12,17.4,
1958-01,11.0,
1958-02,10.2,
1958-03,12.1,
1958-04,11.9,
1958-05,12.4,
1958-06,10.8,
1958-07,12.4,
1958-08,11.2,
1958-09,11.0,
1958-10,12.8,
1958-11,12.6,
1958-12,18.6,
1959-01,11.8,
1959-02,10.6,
1959-03,12.9,
1959-04,12.7,
1959-05,12.6,
1959-06,12.3,
1959-07,13.3,
1959-08,11.9,
1959-09,11.9,
1959-10,14.1,
1959-11,13.9,
1959-12,20.3,
1960-01,12.4,
1960-02,12.0,
1960-03,13.9,
1960-04,14.9,
1960-05,14.4,
1960-06,13.6,
1960-07,14.5,
1960-08,13.4,
1960-09,13.8,
1960-10,15.7,
1960-11,16.3,
1960-12,23.0,
1961-01,12.9,
1961-02,12.7,
1961-03,15.9,
1961-04,14.6,
1961-05,15.2,
1961-06,14.5,
1961-07,15.2,
1961-08,14.8,
1961-09,14.7,
1961-10,16.6,
1961-11,17.9,
1961-12,24.1,
1962-01,15.0,
1962-02,14.5,
1962-03,17.4,
1962-04,18.3,
1962-05,17.4,
1962-06,17.4,
1962-07,17.2,
1962-08,16.6,
1962-09,16.3,
1962-10,19.3,
1962-11,20.5,
1962-12,26.0,
1963-01,16.0,
1963-02,14.9,
1963-03,18.1,
1963-04,19.0,
1963-05,18.8,
1963-06,16.4,
1963-07,18.6,
1963-08,17.4,
1963-09,16.8,
1963-10,20.4,
1963-11,21.5,
1963-12,27.3,
1964-01,17.2,
1964-02,16.6,
1964-03,19.4,
1964-04,20.0,
1964-05,19.3,
1964-06,18.6,
1964-07,20.3,
1964-08,17.8,
1964-09,18.7,
1964-10,22.7,
1964-11,22.8,
1964-12,30.4,
1965-01,18.1,
1965-02,17.7,
1965-03,21.2,
1965-04,23.2,
1965-05,21.6,
1965-06,21.0,
1965-07,23.1,
1965-08,20.1,
1965-09,21.4,
1965-10,23.9,
1965-11,25.4,
1965-12,31.9,
1966-01,19.6,
1966-02,19.6,
1966-03,23.9,
1966-04,24.0,
1966-05,23.6,
1966-06,22.0,
1966-07,23.7,
1966-08,21.6,
1966-09,22.4,
1966-10,24.4,
1966-11,25.9,
1966-12,32.3,
1967-01,20.7,
1967-02,19.6,
1967-03,24.1,
1967-04,22.9,
1967-05,23.3,
1967-06,23.0,
1967-07,23.3,
1967-08,22.0,
1967-09,22.8,
1967-10,24.2,
1967-11,26.0,
1967-12,34.7,
1968-01,20.3,
1968-02,20.2,
1968-03,23.9,
1968-04,25.2,
1968-05,24.7,
1968-06,22.7,
1968-07,24.4,
1968-08,23.6,
1968-09,23.3,
1968-10,26.9,
1968-11,28.9,
1968-12,35.0,
1969-01,22.8,
1969-02,21.6,
1969-03,26.1,
1969-04,26.6,
1969-05,27.4,
1969-06,24.9,
1969-07,27.4,
1969-08,25.2,
1969-09,26.5,
1969-10,30.4,
1969-11,31.1,
1969-12,39.5,
1970-01,24.9,
1970-02,23.9,
1970-03,29.1,
1970-04,30.2,
1970-05,29.2,
1970-06,29.4,
1970-07,31.4,
1970-08,27.0,
1970-09,29.5,
1970-10,34.0,
1970-11,34.8,
1970-12,43.8,
1971-01,27.7,
1971-02,27.1,
1971-03,33.6,
1971-04,34.5,
1971-05,33.0,
1971-06,32.1,
1971-07,34.2,
1971-08,29.8,
1971-09,33.0,
1971-10,36.3,
1971-11,38.7,
1971-12,45.3,
1972-01,30.4,
1972-02,31.0,
1972-03,38.1,
1972-04,34.3,
1972-05,36.5,
1972-06,35.6,
1972-07,35.6,
1972-08,35.4,
1972-09,36.2,
1972-10,39.2,
1972-11,41.4,
1972-12,50.9,
1973-01,34.6,
1973-02,33.8,
1973-03,40.1,
1973-04,39.4,
1973-05,39.9,
1973-06,38.7,
1973-07,37.6,
1973-08,36.2,
1973-09,37.4,
1973-10,42.6,
1973-11,44.4,
1973-12,52.2,
1974-01,36.4,
1974-02,34.2,
1974-03,40.8,
1974-04,42.6,
1974-05,42.6,
1974-06,38.2,
1974-07,42.0,
1974-08,38.7,
1974-09,39.4,
1974-10,46.3,
1974-11,47.1,
1974-12,55.0,
1975-01,39.3,
1975-02,37.6,
1975-03,44.0,
1975-04,45.7,
1975-05,45.1,
1975-06,42.9,
1975-07,44.9,
1975-08,40.8,
1975-09,44.6,
1975-10,51.0,
1975-11,50.4,
1975-12,61.8,
1976-01,42.9,
1976-02,41.4,
1976-03,48.3,
1976-04,49.7,
1976-05,46.9,
1976-06,46.1,
1976-07,47.8,
1976-08,43.2,
1976-09,47.5,
1976-10,50.5,
1976-11,55.0,
1976-12,67.1,
1977-01,43.8,
1977-02,43.4,
1977-03,53.0,
1977-04,50.8,
1977-05,51.6,
1977-06,50.6,
1977-07,51.3,
1977-08,47.9,
1977-09,51.2,
1977-10,53.4,
1977-11,58.5,
1977-12,73.1,
1978-01,47.3,
1978-02,46.1,
1978-03,56.7,
1978-04,53.9,
1978-05,53.6,
1978-06,54.5,
1978-07,52.4,
1978-08,50.7,
1978-09,54.2,
1978-10,57.3,
1978-11,60.6,
1978-12,73.6,
1979-01,50.6,
1979-02,48.0,
1979-03,60.4,
1979-04,57.8,
1979-05,59.2,
1979-06,58.4,
1979-07,55.0,
1979-08,54.5,
1979-09,54.4,
1979-10,63.1,
