"",BBFB1.Q.N.DE.AT.S1.S1.T.B.IN2._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.AT.S1.S1.T.B.IN2._Z._Z._Z._T._X.N_FLAGS
"",Current account / Secondary income / Balance / Austria,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:27,
1991-01,-73.649,
1991-04,-67.463,
1991-07,-94.152,
1991-10,-84.141,
1992-01,-82.803,
1992-04,-103.774,
1992-07,-88.328,
1992-10,-80.279,
1993-01,-69.189,
1993-04,-91.760,
1993-07,-76.344,
1993-10,-60.615,
1994-01,-65.726,
1994-04,-151.630,
1994-07,-62.344,
1994-10,-83.189,
1995-01,-126.008,
1995-04,-54.241,
1995-07,-85.007,
1995-10,-69.848,
1996-01,-93.471,
1996-04,-71.325,
1996-07,-67.853,
1996-10,-93.617,
1997-01,-107.444,
1997-04,-90.950,
1997-07,-102.187,
1997-10,-75.083,
1998-01,-92.303,
1998-04,-15.532,
1998-07,-107.042,
1998-10,-65.257,
1999-01,-86.509,
1999-04,-124.812,
1999-07,-73.020,
1999-10,-64.256,
2000-01,-95.160,
2000-04,-86.402,
2000-07,-95.541,
2000-10,-90.506,
2001-01,-115.341,
2001-04,-75.034,
2001-07,-134.234,
2001-10,-108.482,
2002-01,-111.788,
2002-04,-50.317,
2002-07,-97.049,
2002-10,-92.895,
2003-01,-59.273,
2003-04,-46.170,
2003-07,-59.725,
2003-10,-85.987,
2004-01,-64.646,
2004-04,-37.410,
2004-07,-55.866,
2004-10,-89.561,
2005-01,-105.326,
2005-04,-31.844,
2005-07,-72.858,
2005-10,-75.239,
2006-01,-81.932,
2006-04,-36.512,
2006-07,-71.270,
2006-10,-88.209,
2007-01,-101.033,
2007-04,24.040,
2007-07,-78.072,
2007-10,-128.424,
2008-01,-90.982,
2008-04,-15.826,
2008-07,-88.228,
2008-10,-137.849,
2009-01,-101.833,
2009-04,-56.235,
2009-07,-77.846,
2009-10,-136.511,
2010-01,-125.460,
2010-04,-107.469,
2010-07,-148.887,
2010-10,-38.234,
2011-01,-136.459,
2011-04,-83.141,
2011-07,-139.782,
2011-10,-156.908,
2012-01,-161.678,
2012-04,-115.737,
2012-07,-162.971,
2012-10,-270.021,
2013-01,-144.859,
2013-04,-92.652,
2013-07,-124.622,
2013-10,-99.214,
2014-01,-99.277,Provisional value
2014-04,-73.590,Provisional value
2014-07,-127.014,Provisional value
