"",BBK01.OEBL08U,BBK01.OEBL08U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:02,
2002-01,1.065,
2002-04,0.900,
2002-07,0.880,
2002-10,0.961,
2003-01,0.987,
2003-04,0.969,
2003-07,0.996,
2003-10,1.008,
2004-01,0.982,
2004-04,0.970,
2004-07,1.005,
2004-10,1.019,
2005-01,1.725,
2005-04,1.709,
2005-07,1.691,
2005-10,1.698,
2006-01,1.699,
2006-04,1.652,
2006-07,1.594,
2006-10,1.616,
2007-01,1.620,
2007-04,1.595,
2007-07,1.558,
2007-10,1.589,
2008-01,1.585,
2008-04,1.600,
2008-07,1.557,
2008-10,1.561,
2009-01,1.578,
2009-04,1.583,
2009-07,1.651,
2009-10,1.731,
2010-01,1.749,
2010-04,1.723,
2010-07,1.740,
2010-10,1.752,
2011-01,1.728,
2011-04,1.688,
2011-07,1.660,
2011-10,1.658,
2012-01,1.760,
2012-04,1.737,
2012-07,1.775,
2012-10,1.837,
2013-01,1.830,
2013-04,1.820,
2013-07,1.821,
2013-10,1.849,
2014-01,1.849,
2014-04,1.821,
2014-07,1.840,
