"",BBNZ1.Q.DE.N.H.0155.A,BBNZ1.Q.DE.N.H.0155.A_FLAGS
"",Germany / National accounts / Use of GDP / Premises / Chain-linked index,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-24 08:20:38,
1991-01,90.89,
1991-04,115.11,
1991-07,117.39,
1991-10,108.11,
1992-01,104.95,
1992-04,125.41,
1992-07,126.20,
1992-10,119.36,
1993-01,104.75,
1993-04,129.12,
1993-07,131.78,
1993-10,119.44,
1994-01,113.32,
1994-04,138.15,
1994-07,138.70,
1994-10,129.11,
1995-01,114.01,
1995-04,136.89,
1995-07,135.99,
1995-10,123.23,
1996-01,100.22,
1996-04,134.77,
1996-07,137.75,
1996-10,123.15,
1997-01,101.30,
1997-04,133.14,
1997-07,133.90,
1997-10,120.30,
1998-01,108.59,
1998-04,126.54,
1998-07,131.89,
1998-10,117.33,
1999-01,104.67,
1999-04,129.05,
1999-07,134.72,
1999-10,121.81,
2000-01,108.45,
2000-04,125.19,
2000-07,127.48,
2000-10,113.97,
2001-01,101.40,
2001-04,120.02,
2001-07,123.19,
2001-10,110.47,
2002-01,94.26,
2002-04,113.18,
2002-07,117.50,
2002-10,102.64,
2003-01,88.49,
2003-04,109.61,
2003-07,115.88,
2003-10,102.98,
2004-01,88.11,
2004-04,105.62,
2004-07,109.02,
2004-10,97.92,
2005-01,77.76,
2005-04,103.76,
2005-07,107.54,
2005-10,97.08,
2006-01,80.41,
2006-04,105.90,
2006-07,113.11,
2006-10,105.17,
2007-01,90.23,
2007-04,103.90,
2007-07,109.83,
2007-10,99.66,
2008-01,88.49,
2008-04,107.05,
2008-07,109.10,
2008-10,96.66,
2009-01,81.01,
2009-04,101.32,
2009-07,107.96,
2009-10,97.42,
2010-01,80.09,
2010-04,108.76,
2010-07,112.79,
2010-10,98.36,
2011-01,93.81,
2011-04,114.46,
2011-07,118.07,
2011-10,107.11,
2012-01,96.65,
2012-04,114.45,
2012-07,119.16,
2012-10,105.95,
2013-01,90.13,
2013-04,115.24,
2013-07,122.27,
2013-10,108.31,
2014-01,102.03,
2014-04,116.99,
2014-07,122.18,
2014-10,110.24,
