"",BBFB1.Q.N.DE.GR.S1.S1.T.L.FA.P.F._Z._T.M.N,BBFB1.Q.N.DE.GR.S1.S1.T.L.FA.P.F._Z._T.M.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Portfolio investment / Net / Greece,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:41:34,
1991-01,-7.150,
1991-04,0.735,
1991-07,19.891,
1991-10,-8.290,
1992-01,41.721,
1992-04,8.191,
1992-07,18.472,
1992-10,48.504,
1993-01,50.942,
1993-04,40.965,
1993-07,51.114,
1993-10,-5.803,
1994-01,29.943,
1994-04,-271.318,
1994-07,57.930,
1994-10,427.073,
1995-01,13.676,
1995-04,610.970,
1995-07,310.267,
1995-10,376.048,
1996-01,689.479,
1996-04,-41.981,
1996-07,-91.851,
1996-10,-59.887,
1997-01,347.624,
1997-04,166.302,
1997-07,148.993,
1997-10,355.546,
1998-01,1263.874,
1998-04,376.922,
1998-07,545.594,
1998-10,394.202,
1999-01,863.310,
1999-04,809.288,
1999-07,354.587,
1999-10,816.608,
2000-01,290.159,
2000-04,119.590,
2000-07,69.740,
2000-10,-216.705,
2001-01,124.668,
2001-04,371.470,
2001-07,370.231,
2001-10,212.643,
2002-01,127.770,
2002-04,112.165,
2002-07,-13.894,
2002-10,82.279,
2003-01,1487.639,
2003-04,465.473,
2003-07,167.988,
2003-10,9.643,
2004-01,1029.043,
2004-04,655.493,
2004-07,351.531,
2004-10,332.211,
2005-01,1191.146,
2005-04,137.983,
2005-07,809.050,
2005-10,-11.034,
2006-01,344.371,
2006-04,483.309,
2006-07,249.381,
2006-10,73.133,
2007-01,315.196,
2007-04,685.647,
2007-07,437.615,
2007-10,-16.657,
2008-01,600.849,
2008-04,13.524,
2008-07,256.493,
2008-10,-102.833,
2009-01,-32.332,
2009-04,-49.913,
2009-07,7.467,
2009-10,183.033,
2010-01,145.915,
2010-04,142.303,
2010-07,-129.184,
2010-10,99.722,
2011-01,188.470,
2011-04,122.739,
2011-07,-37.792,
2011-10,-26.700,
2012-01,21.943,
2012-04,64.842,
2012-07,165.777,
2012-10,-82.857,
2013-01,60.989,
2013-04,43.541,
2013-07,5.902,
2013-10,12.760,
2014-01,63.993,Provisional value
2014-04,-1.492,Provisional value
2014-07,-20.017,Provisional value
2014-10,-8.368,Provisional value
