"",BBK01.CEBB01,BBK01.CEBB01_FLAGS
"",Long-term debt securities debtor: All sectors                    creditor: Non-financial corporations,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-07-24 15:22:38,
1991-01,130.6,
1991-04,131.9,
1991-07,132.8,
1991-10,132.9,
1992-01,148.6,
1992-04,146.0,
1992-07,139.6,
1992-10,168.3,
1993-01,182.0,
1993-04,182.1,
1993-07,182.4,
1993-10,181.0,
1994-01,170.3,
1994-04,167.6,
1994-07,165.2,
1994-10,183.6,
1995-01,191.0,
1995-04,198.5,
1995-07,204.1,
1995-10,199.3,
1996-01,197.9,
1996-04,197.5,
1996-07,191.6,
1996-10,190.0,
1997-01,180.6,
1997-04,182.6,
1997-07,176.6,
1997-10,180.8,
1998-01,190.2,
1998-04,181.2,
1998-07,181.5,
1998-10,184.4,
1999-01,220.6,
1999-04,209.9,
1999-07,208.0,
1999-10,230.6,
2000-01,222.2,
2000-04,218.5,
2000-07,229.4,
2000-10,261.6,
2001-01,270.5,
2001-04,290.0,
2001-07,269.3,
2001-10,300.1,
2002-01,301.0,
2002-04,274.2,
2002-07,295.7,
2002-10,262.2,
2003-01,258.0,
2003-04,269.2,
2003-07,260.7,
2003-10,216.7,
2004-01,198.8,
2004-04,179.4,
2004-07,169.5,
2004-10,160.4,
2005-01,138.7,
2005-04,148.6,
2005-07,138.0,
2005-10,131.5,
2006-01,37.2,
2006-04,39.3,
2006-07,43.3,
2006-10,39.4,
2007-01,41.7,
2007-04,41.2,
2007-07,44.7,
2007-10,39.7,
2008-01,37.4,
2008-04,36.8,
2008-07,36.7,
2008-10,38.9,
2009-01,41.7,
2009-04,41.3,
2009-07,42.4,
2009-10,41.3,
2010-01,41.7,
2010-04,42.6,
2010-07,44.2,
2010-10,44.0,
2011-01,47.0,
2011-04,46.7,
2011-07,46.2,
2011-10,46.4,
2012-01,48.2,
2012-04,47.6,
2012-07,47.6,
2012-10,48.3,
2013-01,47.7,
2013-04,45.6,
2013-07,46.4,
2013-10,46.0,
2014-01,45.7,
