"",BBK01.OEBB09S,BBK01.OEBB09S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:38:41,
2002-01,3.864,
2002-04,3.789,
2002-07,3.691,
2002-10,3.599,
2003-01,3.513,
2003-04,3.543,
2003-07,3.506,
2003-10,3.481,
2004-01,3.471,
2004-04,3.431,
2004-07,3.418,
2004-10,3.381,
2005-01,3.444,
2005-04,3.421,
2005-07,3.395,
2005-10,3.381,
2006-01,3.417,
2006-04,3.445,
2006-07,3.464,
2006-10,3.428,
2007-01,3.470,
2007-04,3.446,
2007-07,3.538,
2007-10,3.703,
2008-01,3.728,
2008-04,3.718,
2008-07,3.738,
2008-10,3.844,
2009-01,3.917,
2009-04,3.972,
2009-07,4.025,
2009-10,4.224,
2010-01,4.235,
2010-04,4.252,
2010-07,4.327,
2010-10,4.453,
2011-01,4.503,
2011-04,4.604,
2011-07,4.702,
2011-10,4.879,
2012-01,4.928,
2012-04,4.990,
2012-07,5.016,
2012-10,5.063,
2013-01,5.085,
2013-04,5.105,
2013-07,5.167,
2013-10,5.123,
2014-01,5.093,
2014-04,5.023,
2014-07,5.093,
