"",BBK01.OXA8T8,BBK01.OXA8T8_FLAGS
"",Net total of loans (including bills of exchange) sold to/ bought from non-banks (non-MFIs) in other euro area member states during the reporting period - of which: off-balance true sale of domestic banks (MFIs) - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:51,
2009-12,-,Nothing exists
2010-01,0.119,
2010-02,-,Nothing exists
2010-03,-0.046,
2010-04,-,Nothing exists
2010-05,0.358,
2010-06,-0.125,
2010-07,0.018,
2010-08,0.018,
2010-09,0.029,
2010-10,1.795,
2010-11,0.003,
2010-12,-0.070,
2011-01,0.027,
2011-02,-0.007,
2011-03,-0.079,
2011-04,-0.047,
2011-05,-0.069,
2011-06,-0.125,
2011-07,-0.062,
2011-08,-0.096,
2011-09,-0.146,
2011-10,-0.108,
2011-11,-0.348,
2011-12,0.236,
2012-01,-0.008,
2012-02,0.116,
2012-03,-0.120,
2012-04,-0.045,
2012-05,0.043,
2012-06,0.027,
2012-07,0.080,
2012-08,0.032,
2012-09,-0.115,
2012-10,-0.042,
2012-11,0.031,
2012-12,-0.134,
2013-01,-0.013,
2013-02,-0.107,
2013-03,-0.232,
2013-04,-0.199,
2013-05,-0.354,
2013-06,-0.198,
2013-07,-0.148,
2013-08,0.060,
2013-09,-0.102,
2013-10,-0.213,
2013-11,-0.143,
2013-12,-0.234,
2014-01,-0.443,
2014-02,-0.031,
2014-03,-0.264,
2014-04,0.080,
2014-05,-0.054,
2014-06,0.191,
2014-07,-0.644,
2014-08,-0.160,
2014-09,0.046,
2014-10,0.080,
2014-11,-0.014,
2014-12,0.077,Provisional value
