"",BBK01.OELL03T,BBK01.OELL03T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:17:57,
2002-01,0.360,
2002-04,0.366,
2002-07,0.354,
2002-10,0.393,
2003-01,0.426,
2003-04,0.401,
2003-07,0.440,
2003-10,0.432,
2004-01,0.463,
2004-04,0.440,
2004-07,0.440,
2004-10,0.483,
2005-01,0.487,
2005-04,0.465,
2005-07,0.476,
2005-10,0.452,
2006-01,0.512,
2006-04,0.503,
2006-07,0.504,
2006-10,0.486,
2007-01,0.540,
2007-04,0.538,
2007-07,0.546,
2007-10,0.530,
2008-01,0.570,
2008-04,0.561,
2008-07,0.459,
2008-10,0.511,
2009-01,0.634,
2009-04,0.482,
2009-07,0.457,
2009-10,0.424,
2010-01,0.404,
2010-04,0.400,
2010-07,0.385,
2010-10,0.377,
2011-01,0.383,
2011-04,0.376,
2011-07,0.373,
2011-10,0.366,
2012-01,0.361,
2012-04,0.351,
2012-07,0.335,
2012-10,0.326,
2013-01,0.176,
2013-04,0.167,
2013-07,0.164,
2013-10,0.149,
2014-01,0.150,
2014-04,0.150,
2014-07,0.149,
