"",BBK01.OEYB05T,BBK01.OEYB05T_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:40,
2002-01,2.722,
2002-04,2.709,
2002-07,2.694,
2002-10,2.729,
2003-01,3.434,
2003-04,3.381,
2003-07,3.480,
2003-10,3.279,
2004-01,3.676,
2004-04,3.652,
2004-07,3.669,
2004-10,3.739,
2005-01,3.744,
2005-04,3.749,
2005-07,3.776,
2005-10,3.793,
2006-01,3.795,
2006-04,3.876,
2006-07,3.888,
2006-10,3.922,
2007-01,3.939,
2007-04,3.543,
2007-07,3.651,
2007-10,3.610,
2008-01,3.690,
2008-04,3.718,
2008-07,4.015,
2008-10,4.284,
2009-01,4.566,
2009-04,4.270,
2009-07,4.355,
2009-10,4.441,
2010-01,4.434,
2010-04,4.403,
2010-07,4.456,
2010-10,4.424,
2011-01,4.422,
2011-04,4.554,
2011-07,4.657,
2011-10,4.742,
2012-01,5.040,
2012-04,5.073,
2012-07,5.123,
2012-10,5.196,
2013-01,5.057,
2013-04,5.384,
2013-07,5.253,
2013-10,5.232,
2014-01,5.403,
2014-04,5.561,
2014-07,5.576,
