"",BBK01.OEAA47U,BBK01.OEAA47U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:20:58,
2002-01,4.057,
2002-04,4.071,
2002-07,4.090,
2002-10,4.233,
2003-01,4.267,
2003-04,4.267,
2003-07,4.208,
2003-10,4.208,
2004-01,4.212,
2004-04,4.225,
2004-07,4.277,
2004-10,4.310,
2005-01,4.471,
2005-04,4.484,
2005-07,4.448,
2005-10,4.546,
2006-01,4.610,
2006-04,4.590,
2006-07,4.619,
2006-10,4.540,
2007-01,4.469,
2007-04,4.436,
2007-07,4.383,
2007-10,4.411,
2008-01,4.372,
2008-04,4.350,
2008-07,4.344,
2008-10,4.505,
2009-01,4.474,
2009-04,4.466,
2009-07,4.491,
2009-10,4.457,
2010-01,4.423,
2010-04,4.340,
2010-07,4.387,
2010-10,4.388,
2011-01,4.275,
2011-04,4.308,
2011-07,4.280,
2011-10,4.249,
2012-01,4.320,
2012-04,4.271,
2012-07,4.241,
2012-10,4.245,
2013-01,4.793,
2013-04,4.829,
2013-07,4.845,
2013-10,4.891,
2014-01,4.930,
2014-04,4.866,
2014-07,4.820,
