"",BBK01.OEAE12P,BBK01.OEAE12P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:05:07,
2002-01,0.544,
2002-04,0.492,
2002-07,0.554,
2002-10,0.062,
2003-01,0.078,
2003-04,0.063,
2003-07,0.062,
2003-10,0.085,
2004-01,0.047,
2004-04,0.044,
2004-07,0.049,
2004-10,0.056,
2005-01,0.047,
2005-04,0.046,
2005-07,0.043,
2005-10,0.032,
2006-01,0.049,
2006-04,0.065,
2006-07,0.067,
2006-10,0.058,
2007-01,0.044,
2007-04,0.038,
2007-07,0.043,
2007-10,0.053,
2008-01,0.045,
2008-04,0.041,
2008-07,0.053,
2008-10,0.065,
2009-01,0.062,
2009-04,0.063,
2009-07,0.071,
2009-10,0.049,
2010-01,0.045,
2010-04,0.047,
2010-07,0.051,
2010-10,0.049,
2011-01,0.066,
2011-04,0.083,
2011-07,0.074,
2011-10,0.078,
2012-01,0.086,
2012-04,0.089,
2012-07,0.084,
2012-10,0.074,
2013-01,0.079,
2013-04,0.074,
2013-07,0.071,
2013-10,0.064,
2014-01,0.079,
2014-04,0.081,
2014-07,0.069,
