"",BBSF2.M.1.T.00000.GEF01.I.F.GMP.Z5.00000.F33100.Z01.B1,BBSF2.M.1.T.00000.GEF01.I.F.GMP.Z5.00000.F33100.Z01.B1_FLAGS
"",Funds total / Mixed funds / Short-term debt securities,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:39:02,
2009-09,1273,
2009-10,1300,
2009-11,1208,
2009-12,348,
2010-01,304,
2010-02,325,
2010-03,311,
2010-04,391,
2010-05,488,
2010-06,431,
2010-07,487,
2010-08,544,
2010-09,664,
2010-10,759,
2010-11,801,
2010-12,911,
2011-01,894,
2011-02,990,
2011-03,1291,
2011-04,1422,
2011-05,1446,
2011-06,1530,
2011-07,1678,
2011-08,1501,
2011-09,1553,
2011-10,1633,
2011-11,1546,
2011-12,1766,
2012-01,1822,
2012-02,1917,
2012-03,1785,
2012-04,3448,
2012-05,3597,
2012-06,3477,
2012-07,2851,
2012-08,2643,
2012-09,2627,
2012-10,2259,
2012-11,1628,
2012-12,1713,
2013-01,1737,
2013-02,1667,
2013-03,1664,
2013-04,1795,
2013-05,1878,
2013-06,1769,
2013-07,1692,
2013-08,1820,
2013-09,1867,
2013-10,2050,
2013-11,2066,
2013-12,1649,
2014-01,1636,
2014-02,3254,
2014-03,3327,
2014-04,3096,
2014-05,2713,
2014-06,2669,
2014-07,2667,
2014-08,1520,
2014-09,1461,
2014-10,1064,
2014-11,905,
