"",BBK01.OEAC11U,BBK01.OEAC11U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:50:46,
2002-01,4.149,
2002-04,4.196,
2002-07,4.174,
2002-10,4.164,
2003-01,4.172,
2003-04,4.101,
2003-07,4.536,
2003-10,4.532,
2004-01,4.360,
2004-04,4.010,
2004-07,4.001,
2004-10,4.013,
2005-01,4.046,
2005-04,3.994,
2005-07,3.974,
2005-10,3.945,
2006-01,3.946,
2006-04,3.956,
2006-07,3.982,
2006-10,4.000,
2007-01,4.006,
2007-04,4.014,
2007-07,4.049,
2007-10,3.945,
2008-01,3.919,
2008-04,3.940,
2008-07,4.001,
2008-10,4.000,
2009-01,3.973,
2009-04,4.330,
2009-07,4.360,
2009-10,4.219,
2010-01,4.335,
2010-04,4.326,
2010-07,4.373,
2010-10,4.335,
2011-01,4.429,
2011-04,4.417,
2011-07,4.408,
2011-10,4.383,
2012-01,4.367,
2012-04,4.513,
2012-07,4.521,
2012-10,4.514,
2013-01,4.508,
2013-04,4.474,
2013-07,4.590,
2013-10,4.635,
2014-01,4.623,
2014-04,4.569,
2014-07,4.403,
