"",BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA.D.F5B._Z._T._X.N,BBFB1.Q.N.DE.E14000.S1.S1.T.A.FA.D.F5B._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Direct investment / Equity / Reinvested earnings / Other European countries (acc. to Supplement 3),
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:44:15,
1991-01,60.853,
1991-04,47.059,
1991-07,49.596,
1991-10,62.800,
1992-01,82.070,
1992-04,80.457,
1992-07,77.932,
1992-10,67.155,
1993-01,120.559,
1993-04,107.619,
1993-07,120.373,
1993-10,109.191,
1994-01,86.708,
1994-04,96.121,
1994-07,86.222,
1994-10,94.730,
1995-01,68.241,
1995-04,73.725,
1995-07,66.313,
1995-10,66.093,
1996-01,94.803,
1996-04,98.951,
1996-07,89.412,
1996-10,84.520,
1997-01,111.824,
1997-04,104.454,
1997-07,118.749,
1997-10,74.044,
1998-01,62.620,
1998-04,53.889,
1998-07,36.667,
1998-10,-5.427,
1999-01,232.115,
1999-04,230.649,
1999-07,192.351,
1999-10,223.916,
2000-01,-75.819,
2000-04,-87.619,
2000-07,-86.703,
2000-10,-77.343,
2001-01,-1658.647,
2001-04,5.832,
2001-07,175.384,
2001-10,104.099,
2002-01,90.260,
2002-04,134.098,
2002-07,65.716,
2002-10,29.788,
2003-01,171.701,
2003-04,116.428,
2003-07,-168.064,
2003-10,-290.906,
2004-01,457.741,
2004-04,223.790,
2004-07,439.038,
2004-10,374.161,
2005-01,669.059,
2005-04,193.907,
2005-07,697.732,
2005-10,209.980,
2006-01,897.787,
2006-04,516.644,
2006-07,949.625,
2006-10,679.076,
2007-01,1960.466,
2007-04,1729.872,
2007-07,1554.266,
2007-10,673.136,
2008-01,983.133,
2008-04,-683.695,
2008-07,-555.945,
2008-10,453.286,
2009-01,967.811,
2009-04,660.018,
2009-07,1050.335,
2009-10,683.335,
2010-01,850.416,
2010-04,126.192,
2010-07,137.540,
2010-10,409.969,
2011-01,1135.494,
2011-04,326.050,
2011-07,280.503,
2011-10,548.969,
2012-01,1386.391,
2012-04,-21.290,
2012-07,20.484,
2012-10,783.786,
2013-01,1559.095,
2013-04,752.072,
2013-07,-25.339,
2013-10,1449.165,
2014-01,1492.077,Provisional value
2014-04,709.574,Provisional value
2014-07,265.195,Provisional value
2014-10,1828.054,Provisional value
