"",BBFN1.M.DE.N.1.L.G9.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.G9.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents arising from trade credit / Total / Other European countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:17:27,
1995-01,8.629,
1995-02,8.712,
1995-03,8.735,
1995-04,8.376,
1995-05,8.519,
1995-06,8.605,
1995-07,8.588,
1995-08,8.724,
1995-09,8.677,
1995-10,8.483,
1995-11,8.793,
1995-12,8.506,
1996-01,8.372,
1996-02,8.421,
1996-03,8.447,
1996-04,8.411,
1996-05,8.500,
1996-06,8.576,
1996-07,8.576,
1996-08,8.530,
1996-09,8.684,
1996-10,8.679,
1996-11,8.939,
1996-12,8.853,
1997-01,8.672,
1997-02,8.691,
1997-03,9.025,
1997-04,9.108,
1997-05,9.309,
1997-06,9.215,
1997-07,9.143,
1997-08,8.909,
1997-09,9.291,
1997-10,9.596,
1997-11,9.838,
1997-12,9.697,
1998-01,9.620,
1998-02,9.881,
1998-03,10.206,
1998-04,10.001,
1998-05,9.914,
1998-06,10.065,
1998-07,10.076,
1998-08,9.884,
1998-09,10.034,
1998-10,10.331,
1998-11,10.244,
1998-12,9.907,
1999-01,9.845,
1999-02,9.852,
1999-03,10.085,
1999-04,10.145,
1999-05,10.044,
1999-06,10.031,
1999-07,10.169,
1999-08,10.029,
1999-09,10.057,
1999-10,10.358,
1999-11,10.457,
1999-12,10.837,
2000-01,10.802,
2000-02,11.047,
2000-03,11.521,
2000-04,11.266,
2000-05,10.956,
2000-06,11.215,
2000-07,11.345,
2000-08,11.681,
2000-09,12.258,
2000-10,12.442,
2000-11,12.812,
2000-12,13.038,
2001-01,12.971,
2001-02,12.752,
2001-03,13.151,
2001-04,12.689,
2001-05,12.787,
2001-06,13.087,
2001-07,12.927,
2001-08,12.755,
2001-09,13.054,
2001-10,13.215,
2001-11,13.633,
2001-12,13.730,
2002-01,12.642,
2002-02,12.883,
2002-03,12.464,
2002-04,12.684,
2002-05,12.617,
2002-06,12.741,
2002-07,12.712,
2002-08,12.743,
2002-09,13.482,
2002-10,13.803,
2002-11,14.398,
2002-12,13.425,
2003-01,13.292,
2003-02,13.594,
2003-03,13.784,
2003-04,13.786,
2003-05,14.013,
2003-06,14.661,
2003-07,14.564,
2003-08,14.850,
2003-09,15.059,
2003-10,15.493,
2003-11,15.063,
2003-12,14.295,
2004-01,14.273,
2004-02,14.473,
2004-03,15.292,
2004-04,14.844,
2004-05,10.684,
2004-06,10.626,
2004-07,10.337,
2004-08,10.705,
2004-09,11.336,
2004-10,11.532,
2004-11,11.024,
2004-12,11.183,
2005-01,11.344,
2005-02,10.943,
2005-03,11.137,
2005-04,11.529,
2005-05,10.893,
2005-06,11.866,
2005-07,12.427,
2005-08,12.171,
2005-09,12.377,
2005-10,12.547,
2005-11,12.647,
2005-12,13.664,
2006-01,13.312,
2006-02,13.499,
2006-03,13.841,
2006-04,14.098,
2006-05,13.580,
2006-06,13.775,
2006-07,13.626,
2006-08,12.959,
2006-09,13.882,
2006-10,13.599,
2006-11,14.276,
2006-12,15.208,
2007-01,13.851,
2007-02,13.325,
2007-03,13.604,
2007-04,13.573,
2007-05,13.826,
2007-06,14.706,
2007-07,14.116,
2007-08,14.072,
2007-09,15.229,
2007-10,14.521,
2007-11,14.568,
2007-12,15.587,
2008-01,15.192,
2008-02,15.519,
2008-03,15.862,
2008-04,16.163,
2008-05,16.040,
2008-06,15.675,
2008-07,15.581,
2008-08,15.642,
2008-09,14.867,
2008-10,15.063,
2008-11,15.549,
2008-12,13.562,
2009-01,13.901,
2009-02,13.589,
2009-03,13.447,
2009-04,13.123,
2009-05,13.362,
2009-06,13.993,
2009-07,14.216,
2009-08,13.960,
2009-09,14.499,
2009-10,14.838,
2009-11,14.946,
2009-12,14.466,
2010-01,13.604,
2010-02,14.536,
2010-03,14.958,
2010-04,14.706,
2010-05,14.885,
2010-06,15.321,
2010-07,16.136,
2010-08,15.181,
2010-09,16.021,
2010-10,16.021,
2010-11,15.442,
2010-12,15.901,
2011-01,16.537,
2011-02,15.403,
2011-03,16.109,
2011-04,16.761,
2011-05,17.289,
2011-06,16.773,
2011-07,18.375,
2011-08,16.984,
2011-09,17.616,
2011-10,18.219,
2011-11,17.974,
2011-12,18.472,
2012-01,17.626,
2012-02,18.149,
2012-03,19.280,
2012-04,18.100,
2012-05,18.075,
2012-06,18.657,
2012-07,18.345,
2012-08,17.570,
2012-09,18.927,
2012-10,19.858,
2012-11,18.648,
2012-12,6.937,
2013-01,7.183,
2013-02,7.564,
2013-03,7.609,
2013-04,6.731,
2013-05,6.580,
2013-06,7.222,
2013-07,6.136,
2013-08,6.317,
2013-09,6.302,
2013-10,6.460,
2013-11,6.768,
2013-12,6.524,
2014-01,6.426,
2014-02,6.784,
2014-03,7.254,
2014-04,6.747,
2014-05,6.524,
2014-06,6.721,
2014-07,6.560,
2014-08,6.910,
2014-09,6.398,
2014-10,6.440,
2014-11,6.800,
2014-12,6.339,
"","General: Up to April 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; up to December 2006, including Bulgaria and Romania.",
