"",BBK01.OELB17J,BBK01.OELB17J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:44,
2002-01,1.005,
2002-04,1.025,
2002-07,1.041,
2002-10,1.049,
2003-01,1.050,
2003-04,1.062,
2003-07,1.077,
2003-10,1.098,
2004-01,1.103,
2004-04,1.113,
2004-07,1.132,
2004-10,1.208,
2005-01,1.201,
2005-04,1.216,
2005-07,1.236,
2005-10,1.243,
2006-01,1.264,
2006-04,1.269,
2006-07,1.276,
2006-10,1.217,
2007-01,1.213,
2007-04,1.206,
2007-07,1.199,
2007-10,1.201,
2008-01,1.195,
2008-04,1.198,
2008-07,1.205,
2008-10,1.215,
2009-01,1.209,
2009-04,1.216,
2009-07,1.230,
2009-10,1.232,
2010-01,1.229,
2010-04,1.232,
2010-07,1.242,
2010-10,1.257,
2011-01,1.241,
2011-04,1.248,
2011-07,1.263,
2011-10,1.273,
2012-01,1.276,
2012-04,1.359,
2012-07,1.365,
2012-10,1.377,
2013-01,1.376,
2013-04,1.389,
2013-07,1.406,
2013-10,1.421,
2014-01,1.194,
2014-04,1.211,
2014-07,1.222,
