"",BBFN1.M.DE.N.1.A.W00200.S1P.H2.T.NV00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W00200.S1P.H2.T.NV00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on foreign affiliated enterprises arising from advance payments made / Total / Industrial countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:06:38,
1994-11,.,No value available
1994-12,.,No value available
1995-01,0.963,
1995-02,0.921,
1995-03,0.841,
1995-04,0.839,
1995-05,0.845,
1995-06,0.752,
1995-07,0.730,
1995-08,0.758,
1995-09,0.796,
1995-10,0.822,
1995-11,0.869,
1995-12,0.725,
1996-01,0.713,
1996-02,0.759,
1996-03,0.781,
1996-04,0.789,
1996-05,0.852,
1996-06,0.752,
1996-07,0.771,
1996-08,0.796,
1996-09,0.803,
1996-10,0.807,
1996-11,0.862,
1996-12,0.905,
1997-01,0.960,
1997-02,0.988,
1997-03,1.036,
1997-04,1.014,
1997-05,1.084,
1997-06,1.000,
1997-07,1.011,
1997-08,0.979,
1997-09,0.993,
1997-10,0.961,
1997-11,1.010,
1997-12,0.927,
1998-01,0.850,
1998-02,0.931,
1998-03,0.857,
1998-04,0.994,
1998-05,0.971,
1998-06,0.836,
1998-07,0.841,
1998-08,0.989,
1998-09,0.942,
1998-10,0.886,
1998-11,0.909,
1998-12,0.918,
1999-01,1.055,
1999-02,1.095,
1999-03,1.053,
1999-04,0.993,
1999-05,1.117,
1999-06,0.952,
1999-07,0.846,
1999-08,0.933,
1999-09,0.807,
1999-10,0.988,
1999-11,0.998,
1999-12,0.931,
2000-01,0.966,
2000-02,0.971,
2000-03,0.927,
2000-04,0.924,
2000-05,0.933,
2000-06,0.852,
2000-07,0.928,
2000-08,1.065,
2000-09,1.055,
2000-10,1.023,
2000-11,1.166,
2000-12,1.025,
2001-01,1.099,
2001-02,1.134,
2001-03,1.182,
2001-04,1.125,
2001-05,1.136,
2001-06,1.187,
2001-07,1.136,
2001-08,1.896,
2001-09,1.728,
2001-10,1.984,
2001-11,2.050,
2001-12,2.215,
2002-01,1.594,
2002-02,1.867,
2002-03,2.264,
2002-04,2.259,
2002-05,1.944,
2002-06,2.032,
2002-07,2.319,
2002-08,2.179,
2002-09,1.958,
2002-10,2.384,
2002-11,1.662,
2002-12,1.504,
2003-01,1.502,
2003-02,1.536,
2003-03,1.678,
2003-04,1.801,
2003-05,1.624,
2003-06,1.576,
2003-07,2.087,
2003-08,1.776,
2003-09,1.701,
2003-10,1.817,
2003-11,0.930,
2003-12,0.871,
2004-01,0.882,
2004-02,1.187,
2004-03,0.935,
2004-04,0.935,
2004-05,1.007,
2004-06,0.988,
2004-07,1.019,
2004-08,1.019,
2004-09,1.089,
2004-10,1.055,
2004-11,1.077,
2004-12,0.982,
2005-01,1.048,
2005-02,1.021,
2005-03,1.064,
2005-04,1.067,
2005-05,1.062,
2005-06,1.036,
2005-07,1.156,
2005-08,1.168,
2005-09,1.167,
2005-10,1.196,
2005-11,1.155,
2005-12,1.049,
2006-01,1.065,
2006-02,1.083,
2006-03,1.131,
2006-04,1.193,
2006-05,1.145,
2006-06,1.130,
2006-07,1.177,
2006-08,1.247,
2006-09,1.176,
2006-10,1.228,
2006-11,1.211,
2006-12,1.062,
2007-01,1.190,
2007-02,1.153,
2007-03,1.201,
2007-04,1.258,
2007-05,1.280,
2007-06,1.320,
2007-07,1.361,
2007-08,1.396,
2007-09,1.296,
2007-10,1.430,
2007-11,1.509,
2007-12,1.390,
2008-01,1.470,
2008-02,1.468,
2008-03,1.427,
2008-04,1.536,
2008-05,1.558,
2008-06,1.529,
2008-07,1.652,
2008-08,1.672,
2008-09,1.717,
2008-10,1.853,
2008-11,1.904,
2008-12,1.722,
2009-01,1.746,
2009-02,1.769,
2009-03,1.793,
2009-04,1.815,
2009-05,1.948,
2009-06,1.964,
2009-07,1.987,
2009-08,2.015,
2009-09,2.004,
2009-10,2.234,
2009-11,2.248,
2009-12,2.070,
2010-01,2.094,
2010-02,2.089,
2010-03,2.088,
2010-04,2.100,
2010-05,2.199,
2010-06,2.246,
2010-07,2.259,
2010-08,2.342,
2010-09,2.387,
2010-10,2.446,
2010-11,2.486,
2010-12,2.422,
2011-01,4.199,
2011-02,4.222,
2011-03,4.248,
2011-04,4.319,
2011-05,4.352,
2011-06,4.374,
2011-07,4.553,
2011-08,4.593,
2011-09,4.535,
2011-10,4.621,
2011-11,4.481,
2011-12,4.314,
2012-01,4.333,
2012-02,4.290,
2012-03,4.224,
2012-04,4.286,
2012-05,4.390,
2012-06,4.583,
2012-07,4.952,
2012-08,5.742,
2012-09,5.903,
2012-10,5.669,
2012-11,5.695,
2012-12,5.445,
2013-01,5.566,
2013-02,5.563,
2013-03,5.604,
2013-04,5.709,
2013-05,6.047,
2013-06,5.934,
2013-07,5.051,
2013-08,3.968,
2013-09,4.959,
2013-10,5.277,
2013-11,5.190,
2013-12,5.319,
2014-01,5.080,
2014-02,4.955,
2014-03,5.036,
2014-04,5.035,
2014-05,5.425,
2014-06,5.343,
2014-07,5.175,
2014-08,5.194,
2014-09,4.870,
2014-10,5.240,
2014-11,5.184,
2014-12,5.116,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
