"",BBK01.OEBB09J,BBK01.OEBB09J_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:28:00,
2002-01,2.181,
2002-04,2.227,
2002-07,2.164,
2002-10,2.026,
2003-01,2.016,
2003-04,1.960,
2003-07,1.935,
2003-10,1.665,
2004-01,1.651,
2004-04,1.657,
2004-07,1.570,
2004-10,1.435,
2005-01,1.449,
2005-04,1.430,
2005-07,1.511,
2005-10,1.559,
2006-01,1.641,
2006-04,1.687,
2006-07,1.675,
2006-10,1.681,
2007-01,1.808,
2007-04,1.904,
2007-07,2.007,
2007-10,2.003,
2008-01,2.039,
2008-04,2.174,
2008-07,2.274,
2008-10,2.191,
2009-01,2.228,
2009-04,2.179,
2009-07,2.131,
2009-10,2.083,
2010-01,2.082,
2010-04,2.152,
2010-07,2.127,
2010-10,2.123,
2011-01,2.175,
2011-04,2.227,
2011-07,2.296,
2011-10,2.364,
2012-01,2.381,
2012-04,2.668,
2012-07,2.702,
2012-10,2.642,
2013-01,2.636,
2013-04,2.509,
2013-07,2.592,
2013-10,2.690,
2014-01,2.814,
2014-04,2.784,
2014-07,2.622,
