"",BBK01.OEBJ02U,BBK01.OEBJ02U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:00:14,
2002-01,0.643,
2002-04,0.683,
2002-07,0.797,
2002-10,0.845,
2003-01,0.733,
2003-04,0.745,
2003-07,0.754,
2003-10,0.852,
2004-01,0.832,
2004-04,0.910,
2004-07,0.943,
2004-10,0.970,
2005-01,0.984,
2005-04,0.992,
2005-07,1.006,
2005-10,1.132,
2006-01,1.011,
2006-04,0.952,
2006-07,1.021,
2006-10,1.080,
2007-01,0.939,
2007-04,0.920,
2007-07,0.947,
2007-10,1.107,
2008-01,1.028,
2008-04,0.905,
2008-07,0.959,
2008-10,1.087,
2009-01,1.265,
2009-04,1.429,
2009-07,1.781,
2009-10,1.829,
2010-01,1.882,
2010-04,1.794,
2010-07,1.857,
2010-10,1.887,
2011-01,1.844,
2011-04,1.894,
2011-07,1.995,
2011-10,1.959,
2012-01,1.680,
2012-04,1.533,
2012-07,1.381,
2012-10,1.494,
2013-01,1.388,
2013-04,1.443,
2013-07,1.560,
2013-10,1.656,
2014-01,1.541,
2014-04,1.525,
2014-07,1.637,
