"",BBK01.OEAB23U,BBK01.OEAB23U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:40:58,
2002-01,0.181,
2002-04,0.248,
2002-07,0.248,
2002-10,0.267,
2003-01,0.265,
2003-04,0.266,
2003-07,0.254,
2003-10,0.246,
2004-01,0.255,
2004-04,0.239,
2004-07,0.229,
2004-10,0.224,
2005-01,0.209,
2005-04,0.199,
2005-07,0.198,
2005-10,0.191,
2006-01,0.191,
2006-04,0.224,
2006-07,0.229,
2006-10,0.245,
2007-01,0.249,
2007-04,0.196,
2007-07,0.198,
2007-10,0.177,
2008-01,0.173,
2008-04,0.177,
2008-07,0.175,
2008-10,0.179,
2009-01,0.181,
2009-04,0.175,
2009-07,0.188,
2009-10,0.162,
2010-01,0.164,
2010-04,0.171,
2010-07,0.187,
2010-10,0.189,
2011-01,0.214,
2011-04,0.179,
2011-07,0.177,
2011-10,0.167,
2012-01,0.157,
2012-04,0.157,
2012-07,0.150,
2012-10,0.144,
2013-01,0.171,
2013-04,0.172,
2013-07,0.250,
2013-10,0.263,
2014-01,0.264,
2014-04,0.251,
2014-07,0.229,
