"",BBK01.OEXB11M,BBK01.OEXB11M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:31:49,
2002-01,1.607,
2002-04,1.690,
2002-07,1.785,
2002-10,1.947,
2003-01,2.042,
2003-04,2.125,
2003-07,2.192,
2003-10,2.271,
2004-01,2.287,
2004-04,2.365,
2004-07,2.413,
2004-10,2.210,
2005-01,2.260,
2005-04,0.928,
2005-07,0.910,
2005-10,0.943,
2006-01,0.987,
2006-04,0.999,
2006-07,1.061,
2006-10,1.014,
2007-01,1.053,
2007-04,1.003,
2007-07,1.043,
2007-10,1.097,
2008-01,1.058,
2008-04,1.103,
2008-07,1.078,
2008-10,1.173,
2009-01,1.212,
2009-04,1.280,
2009-07,1.338,
2009-10,1.378,
2010-01,1.386,
2010-04,1.382,
2010-07,1.418,
2010-10,1.504,
2011-01,1.481,
2011-04,1.533,
2011-07,1.700,
2011-10,2.010,
2012-01,2.185,
2012-04,2.399,
2012-07,2.501,
2012-10,2.666,
2013-01,2.685,
2013-04,2.704,
2013-07,2.794,
2013-10,2.806,
2014-01,2.716,
2014-04,2.736,
2014-07,2.728,
