"",BBK01.OEYB22O,BBK01.OEYB22O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:34:46,
2002-01,0.429,
2002-04,0.319,
2002-07,0.394,
2002-10,0.415,
2003-01,2.922,
2003-04,0.262,
2003-07,0.241,
2003-10,0.598,
2004-01,0.477,
2004-04,0.761,
2004-07,0.452,
2004-10,0.686,
2005-01,0.303,
2005-04,0.269,
2005-07,0.104,
2005-10,0.326,
2006-01,0.791,
2006-04,0.458,
2006-07,0.538,
2006-10,0.419,
2007-01,0.551,
2007-04,0.343,
2007-07,0.256,
2007-10,0.246,
2008-01,0.573,
2008-04,0.574,
2008-07,0.362,
2008-10,0.962,
2009-01,0.567,
2009-04,0.321,
2009-07,0.265,
2009-10,0.909,
2010-01,0.603,
2010-04,0.550,
2010-07,0.870,
2010-10,0.669,
2011-01,0.638,
2011-04,0.620,
2011-07,0.395,
2011-10,0.177,
2012-01,0.184,
2012-04,0.274,
2012-07,0.210,
2012-10,0.396,
2013-01,0.168,
2013-04,0.171,
2013-07,0.559,
2013-10,0.185,
2014-01,0.590,
2014-04,0.735,
2014-07,0.485,
